Inv. Number,Vendor,Store,Contract Number,AP Batch,Cut Off Date,Amt. Payable,Rate,EFD Amount,EFD Notes                                                                                                   
EFD014447628, 17727,  134,163462         ,AP852260  ,150430,          302.3200 ,   .25,             .7558 ,EFD_ECO_043015                                                                               
EFD014447629, 17727,  166,163464         ,AP852260  ,150430,          352.7200 ,   .25,             .8818 ,EFD_ECO_043015                                                                               
EFD014447630, 17727,  279,163467         ,AP852260  ,150430,         2935.2400 ,   .25,            7.3381 ,EFD_ECO_043015                                                                               
EFD014447631, 17727,  701,163470         ,AP852260  ,150430,          692.8000 ,   .25,            1.7320 ,EFD_ECO_043015                                                                               
EFD014447632, 17727,  823,163474         ,AP852260  ,150430,          562.7200 ,   .25,            1.4068 ,EFD_ECO_043015                                                                               
EFD014447633, 17727,  103,163556         ,AP852260  ,150430,        59653.7280 ,   .25,          149.1343 ,EFD_ECO_043015                                                                               
EFD014447634, 17727,  114,163559         ,AP852260  ,150430,        39177.9850 ,   .25,           97.9449 ,EFD_ECO_043015                                                                               
EFD014447635, 17727,  121,163561         ,AP852260  ,150430,        69215.4310 ,   .25,          173.0385 ,EFD_ECO_043015                                                                               
EFD014447636, 17727,  103,163562         ,AP852260  ,150430,        66822.2860 ,   .25,          167.0557 ,EFD_ECO_043015                                                                               
EFD014447637, 17727,  129,163564         ,AP852260  ,150430,        48243.6570 ,   .25,          120.6091 ,EFD_ECO_043015                                                                               
EFD014447638, 17727,  134,163566         ,AP852260  ,150430,        63902.2440 ,   .25,          159.7556 ,EFD_ECO_043015                                                                               
EFD014447639, 17727,  166,163567         ,AP852260  ,150430,        45982.7810 ,   .25,          114.9569 ,EFD_ECO_043015                                                                               
EFD014447640, 17727,  185,163569         ,AP852260  ,150430,        15640.9740 ,   .25,           39.1024 ,EFD_ECO_043015                                                                               
EFD014447641, 17727,  186,163570         ,AP852260  ,150430,        64917.4150 ,   .25,          162.2935 ,EFD_ECO_043015                                                                               
EFD014447642, 17727,  270,163574         ,AP852260  ,150430,        10225.1850 ,   .25,           25.5629 ,EFD_ECO_043015                                                                               
EFD014447643, 17727,  114,163575         ,AP852260  ,150430,        25236.0020 ,   .25,           63.0900 ,EFD_ECO_043015                                                                               
EFD014447644, 17727,  276,163576         ,AP852260  ,150430,         3372.7140 ,   .25,            8.4317 ,EFD_ECO_043015                                                                               
EFD014447645, 17727,  283,163578         ,AP852260  ,150430,        14858.1220 ,   .25,           37.1453 ,EFD_ECO_043015                                                                               
EFD014447646, 17727,  285,163579         ,AP852260  ,150430,        22767.8060 ,   .25,           56.9195 ,EFD_ECO_043015                                                                               
EFD014447647, 17727,  121,163581         ,AP852260  ,150430,        67562.2660 ,   .25,          168.9056 ,EFD_ECO_043015                                                                               
EFD014447648, 17727,  709,163582         ,AP852260  ,150430,        49776.0420 ,   .25,          124.4401 ,EFD_ECO_043015                                                                               
EFD014447649, 17727,  129,163583         ,AP852260  ,150430,        61355.9050 ,   .25,          153.3897 ,EFD_ECO_043015                                                                               
EFD014447650, 17727,  106,163584         ,AP852260  ,150430,       149881.8680 ,   .25,          374.7046 ,EFD_ECO_043015                                                                               
EFD014447651, 17727,  134,163585         ,AP852260  ,150430,        46745.7780 ,   .25,          116.8644 ,EFD_ECO_043015                                                                               
EFD014447652, 17727,  711,163586         ,AP852260  ,150430,         8076.3570 ,   .25,           20.1908 ,EFD_ECO_043015                                                                               
