Inv. Number,Vendor,Store,Contract Number,AP Batch,Cut Off Date,Amt. Payable,Rate,EFD Amount,EFD Notes                                                                                                   
EFD014446025, 17727,  134,163462         ,AP560351  ,150422,          478.6800 ,   .25,            1.1967 ,EFD_ECO_042215                                                                               
EFD014446026, 17727,  166,163464         ,AP560351  ,150422,          491.2800 ,   .25,            1.2282 ,EFD_ECO_042215                                                                               
EFD014446027, 17727,  279,163467         ,AP560351  ,150422,         1419.3600 ,   .25,            3.5484 ,EFD_ECO_042215                                                                               
EFD014446028, 17727,  701,163470         ,AP560351  ,150422,          466.0800 ,   .25,            1.1652 ,EFD_ECO_042215                                                                               
EFD014446029, 17727,  823,163474         ,AP560351  ,150422,          461.9200 ,   .25,            1.1548 ,EFD_ECO_042215                                                                               
EFD014446030, 17727,  848,163478         ,AP560351  ,150422,          138.5600 ,   .25,             .3464 ,EFD_ECO_042215                                                                               
EFD014446031, 17727,  103,163556         ,AP560351  ,150422,        51974.7410 ,   .25,          129.9368 ,EFD_ECO_042215                                                                               
EFD014446032, 17727,  114,163559         ,AP560351  ,150422,        37389.1030 ,   .25,           93.4727 ,EFD_ECO_042215                                                                               
EFD014446033, 17727,  121,163561         ,AP560351  ,150422,        60733.0920 ,   .25,          151.8327 ,EFD_ECO_042215                                                                               
EFD014446034, 17727,  103,163562         ,AP560351  ,150422,        64903.2550 ,   .25,          162.2581 ,EFD_ECO_042215                                                                               
EFD014446035, 17727,  129,163564         ,AP560351  ,150422,        42573.4480 ,   .25,          106.4336 ,EFD_ECO_042215                                                                               
EFD014446036, 17727,  134,163566         ,AP560351  ,150422,        51825.2060 ,   .25,          129.5630 ,EFD_ECO_042215                                                                               
EFD014446037, 17727,  166,163567         ,AP560351  ,150422,        42660.8870 ,   .25,          106.6522 ,EFD_ECO_042215                                                                               
EFD014446038, 17727,  185,163569         ,AP560351  ,150422,        14656.0380 ,   .25,           36.6400 ,EFD_ECO_042215                                                                               
EFD014446039, 17727,  186,163570         ,AP560351  ,150422,        52152.1460 ,   .25,          130.3803 ,EFD_ECO_042215                                                                               
EFD014446040, 17727,  270,163574         ,AP560351  ,150422,         9600.2170 ,   .25,           24.0005 ,EFD_ECO_042215                                                                               
EFD014446041, 17727,  114,163575         ,AP560351  ,150422,        22272.2270 ,   .25,           55.6805 ,EFD_ECO_042215                                                                               
EFD014446042, 17727,  276,163576         ,AP560351  ,150422,         2376.9120 ,   .25,            5.9422 ,EFD_ECO_042215                                                                               
EFD014446043, 17727,  283,163578         ,AP560351  ,150422,        14533.9520 ,   .25,           36.3348 ,EFD_ECO_042215                                                                               
EFD014446044, 17727,  285,163579         ,AP560351  ,150422,        16623.0770 ,   .25,           41.5576 ,EFD_ECO_042215                                                                               
EFD014446045, 17727,  121,163581         ,AP560351  ,150422,        61817.1810 ,   .25,          154.5429 ,EFD_ECO_042215                                                                               
EFD014446046, 17727,  709,163582         ,AP560351  ,150422,        43179.4630 ,   .25,          107.9486 ,EFD_ECO_042215                                                                               
EFD014446047, 17727,  129,163583         ,AP560351  ,150422,        54928.4640 ,   .25,          137.3211 ,EFD_ECO_042215                                                                               
EFD014446048, 17727,  106,163584         ,AP560351  ,150422,       110480.1530 ,   .25,          276.2003 ,EFD_ECO_042215                                                                               
EFD014446049, 17727,  134,163585         ,AP560351  ,150422,        40725.1660 ,   .25,          101.8129 ,EFD_ECO_042215                                                                               
EFD014446050, 17727,  711,163586         ,AP560351  ,150422,         7631.4100 ,   .25,           19.0785 ,EFD_ECO_042215                                                                               
EFD014446051, 17727,  112,163587         ,AP560351  ,150422,       153096.5080 ,   .25,          382.7412 ,EFD_ECO_042215                                                                               
EFD014446052, 17727,  116,163588         ,AP560351  ,150422,       130374.0810 ,   .25,          325.9352 ,EFD_ECO_042215                                                                               
EFD014446053, 17727,  713,163590         ,AP560351  ,150422,        23324.6540 ,   .25,           58.3116 ,EFD_ECO_042215                                                                               
EFD014446054, 17727,  125,163591         ,AP560351  ,150422,       174355.0550 ,   .25,          435.8876 ,EFD_ECO_042215                                                                               
EFD014446055, 17727,  716,163594         ,AP560351  ,150422,         8812.1970 ,   .25,           22.0304 ,EFD_ECO_042215                                                                               
EFD014446056, 17727,  265,163595         ,AP560351  ,150422,       132754.1520 ,   .25,          331.8853 ,EFD_ECO_042215                                                                               
EFD014446057, 17727,  718,163596         ,AP560351  ,150422,        10749.4750 ,   .25,           26.8736 ,EFD_ECO_042215                                                                               
EFD014446058, 17727,  166,163598         ,AP560351  ,150422,        26474.0250 ,   .25,           66.1850 ,EFD_ECO_042215                                                                               
EFD014446059, 17727,  279,163600         ,AP560351  ,150422,       288347.4910 ,   .25,          720.8687 ,EFD_ECO_042215                                                                               
EFD014446060, 17727,  728,163601         ,AP560351  ,150422,        14219.2450 ,   .25,           35.5481 ,EFD_ECO_042215                                                                               
EFD014446061, 17727,  849,163602         ,AP560351  ,150422,        35588.8480 ,   .25,           88.9721 ,EFD_ECO_042215                                                                               
EFD014446062, 17727,  701,163603         ,AP560351  ,150422,       167079.8340 ,   .25,          417.6995 ,EFD_ECO_042215                                                                               
EFD014446063, 17727,  731,163604         ,AP560351  ,150422,        28205.4480 ,   .25,           70.5136 ,EFD_ECO_042215                                                                               
EFD014446064, 17727,  270,163605         ,AP560351  ,150422,         6995.9960 ,   .25,           17.4899 ,EFD_ECO_042215                                                                               
EFD014446065, 17727,  848,163606         ,AP560351  ,150422,        12399.6680 ,   .25,           30.9991 ,EFD_ECO_042215                                                                               
EFD014446066, 17727,  706,163607         ,AP560351  ,150422,       175048.4790 ,   .25,          437.6211 ,EFD_ECO_042215                                                                               
EFD014446067, 17727,  732,163608         ,AP560351  ,150422,        18094.9440 ,   .25,           45.2373 ,EFD_ECO_042215                                                                               
EFD014446068, 17727,  830,163609         ,AP560351  ,150422,        19337.6510 ,   .25,           48.3441 ,EFD_ECO_042215                                                                               
EFD014446069, 17727,  717,163610         ,AP560351  ,150422,       232751.4930 ,   .25,          581.8787 ,EFD_ECO_042215                                                                               
EFD014446070, 17727,  822,163611         ,AP560351  ,150422,         5982.5790 ,   .25,           14.9564 ,EFD_ECO_042215                                                                               
EFD014446071, 17727,  823,163612         ,AP560351  ,150422,        70811.6720 ,   .25,          177.0291 ,EFD_ECO_042215                                                                               
EFD014446072, 17727,  822,163613         ,AP560351  ,150422,         5635.8940 ,   .25,           14.0897 ,EFD_ECO_042215                                                                               
EFD014446073, 17727,  823,163614         ,AP560351  ,150422,        62431.5960 ,   .25,          156.0789 ,EFD_ECO_042215                                                                               
EFD014446074, 17727,  840,163615         ,AP560351  ,150422,       246063.9120 ,   .25,          615.1597 ,EFD_ECO_042215                                                                               
EFD014446075, 17727,  732,163616         ,AP560351  ,150422,        28237.4640 ,   .25,           70.5936 ,EFD_ECO_042215                                                                               
EFD014446076, 17727,  731,163617         ,AP560351  ,150422,        20720.8020 ,   .25,           51.8020 ,EFD_ECO_042215                                                                               
EFD014446077, 17727,  830,163618         ,AP560351  ,150422,        17981.4880 ,   .25,           44.9537 ,EFD_ECO_042215                                                                               
EFD014446078, 17727,  728,163619         ,AP560351  ,150422,        20083.6970 ,   .25,           50.2092 ,EFD_ECO_042215                                                                               
EFD014446079, 17727,  185,163620         ,AP560351  ,150422,        19446.1050 ,   .25,           48.6152 ,EFD_ECO_042215                                                                               
EFD014446080, 17727,  718,163621         ,AP560351  ,150422,        10239.2130 ,   .25,           25.5980 ,EFD_ECO_042215                                                                               
EFD014446081, 17727,  716,163622         ,AP560351  ,150422,        16118.7470 ,   .25,           40.2968 ,EFD_ECO_042215                                                                               
EFD014446082, 17727,  848,163623         ,AP560351  ,150422,        13297.8730 ,   .25,           33.2446 ,EFD_ECO_042215                                                                               
EFD014446083, 17727,  713,163624         ,AP560351  ,150422,        16799.6580 ,   .25,           41.9991 ,EFD_ECO_042215                                                                               
EFD014446084, 17727,  711,163625         ,AP560351  ,150422,        10367.6690 ,   .25,           25.9191 ,EFD_ECO_042215                                                                               
EFD014446085, 17727,  849,163626         ,AP560351  ,150422,        33622.3850 ,   .25,           84.0559 ,EFD_ECO_042215                                                                               
EFD014446086, 17727,  709,163627         ,AP560351  ,150422,        31532.5190 ,   .25,           78.8312 ,EFD_ECO_042215                                                                               
EFD014446087, 17727,  285,163629         ,AP560351  ,150422,        21586.0640 ,   .25,           53.9651 ,EFD_ECO_042215                                                                               
EFD014446088, 17727,  283,163630         ,AP560351  ,150422,        14206.6270 ,   .25,           35.5165 ,EFD_ECO_042215                                                                               
EFD014446089, 17727,  276,163631         ,AP560351  ,150422,         5657.2740 ,   .25,           14.1431 ,EFD_ECO_042215                                                                               
EFD014446090, 17727,  186,163664         ,AP560351  ,150422,        41673.1430 ,   .25,          104.1828 ,EFD_ECO_042215                                                                               
EFD014446091, 10156,  101,141048         ,AP560351  ,150422,         5321.4930 ,   .50,           26.6074 ,EFD_ECO_042215                                                                               
EFD014446092, 10156,  102,141049         ,AP560351  ,150422,         2695.2370 ,   .50,           13.4761 ,EFD_ECO_042215                                                                               
EFD014446093, 10156,  106,141051         ,AP560351  ,150422,         7138.9240 ,   .50,           35.6946 ,EFD_ECO_042215                                                                               
EFD014446094, 10156,  108,141052         ,AP560351  ,150422,         3201.6550 ,   .50,           16.0082 ,EFD_ECO_042215                                                                               
EFD014446095, 10156,  109,141053         ,AP560351  ,150422,         3042.2770 ,   .50,           15.2113 ,EFD_ECO_042215                                                                               
EFD014446096, 10156,  115,141058         ,AP560351  ,150422,         4826.3730 ,   .50,           24.1318 ,EFD_ECO_042215                                                                               
EFD014446097, 10156,  116,141059         ,AP560351  ,150422,         5110.2290 ,   .50,           25.5511 ,EFD_ECO_042215                                                                               
EFD014446098, 10156,  118,141060         ,AP560351  ,150422,         6169.5260 ,   .50,           30.8476 ,EFD_ECO_042215                                                                               
EFD014446099, 10156,  119,141061         ,AP560351  ,150422,         6332.1810 ,   .50,           31.6609 ,EFD_ECO_042215                                                                               
EFD014446100, 10156,  121,141062         ,AP560351  ,150422,         3550.8620 ,   .50,           17.7543 ,EFD_ECO_042215                                                                               
EFD014446101, 10156,  122,141063         ,AP560351  ,150422,         3223.5970 ,   .50,           16.1179 ,EFD_ECO_042215                                                                               
EFD014446102, 10156,  156,141070         ,AP560351  ,150422,         5105.2830 ,   .50,           25.5264 ,EFD_ECO_042215                                                                               
EFD014446103, 10156,  147,141072         ,AP560351  ,150422,         2938.0210 ,   .50,           14.6901 ,EFD_ECO_042215                                                                               
EFD014446104, 10225,  726,101841         ,AP560351  ,150422,         3740.4510 ,   .25,            9.3511 ,EFD_ECO_042215                                                                               
EFD014446105, 10225,  726,101842         ,AP560351  ,150422,        57758.5320 ,   .25,          144.3963 ,EFD_ECO_042215                                                                               
EFD014446106, 10225,  726,101843         ,AP560351  ,150422,          603.8410 ,   .25,            1.5096 ,EFD_ECO_042215                                                                               
EFD014446107, 10225,  163,112017         ,AP560351  ,150422,        14701.1830 ,   .25,           36.7529 ,EFD_ECO_042215                                                                               
EFD014446108, 10225,  163,112036         ,AP560351  ,150422,        23455.7640 ,   .25,           58.6394 ,EFD_ECO_042215                                                                               
EFD014446109, 10225,  163,112039         ,AP560351  ,150422,          723.4760 ,   .25,            1.8086 ,EFD_ECO_042215                                                                               
EFD014446110, 10225,  724,112042         ,AP560351  ,150422,          279.6490 ,   .25,             .6991 ,EFD_ECO_042215                                                                               
EFD014446111, 10225,  730,112044         ,AP560351  ,150422,        31474.6420 ,   .25,           78.6866 ,EFD_ECO_042215                                                                               
