Inv Number,Ven Code,Ven Name,Store,Str Name,PO Number,RCR Number,RCR Date,RCR Amount,EFD Rate,EFD Amount,EFD Notes                                                                                      
EFD014665077,010009,ABSOLUTE SALES CORPORATION         ,00855,NESUP   ,0000012073,0000009744,150902,         3549.9960 ,   .35,           12.4250 ,EFD_EDI_091515                                       
EFD014665077,010009,ABSOLUTE SALES CORPORATION         ,00855,NESUP   ,0000014391,0000010130,150904,         3364.2960 ,   .35,           11.7750 ,EFD_EDI_091515                                       
EFD014665077,010009,ABSOLUTE SALES CORPORATION         ,00855,NESUP   ,0000015536,0000010976,150910,        17801.9520 ,   .35,           62.3068 ,EFD_EDI_091515                                       
EFD014665077,010009,ABSOLUTE SALES CORPORATION         ,00855,NESUP   ,0000016840,0000011339,150913,          717.3984 ,   .35,            2.5109 ,EFD_EDI_091515                                       
EFD014665078,010009,ABSOLUTE SALES CORPORATION         ,00856,NENEM   ,0000015537,0000010977,150910,         1064.3376 ,   .35,            3.7252 ,EFD_EDI_091515                                       
EFD014665079,010009,ABSOLUTE SALES CORPORATION         ,00857,NESBSSJ ,0000014392,0000010113,150904,         3127.9980 ,   .35,           10.9480 ,EFD_EDI_091515                                       
EFD014665079,010009,ABSOLUTE SALES CORPORATION         ,00857,NESBSSJ ,0000015538,0000010617,150908,         9887.4180 ,   .35,           34.6060 ,EFD_EDI_091515                                       
EFD014665080,010009,ABSOLUTE SALES CORPORATION         ,00859,NESBSCI ,0000014394,0000010095,150904,          815.9976 ,   .35,            2.8560 ,EFD_EDI_091515                                       
EFD014665080,010009,ABSOLUTE SALES CORPORATION         ,00859,NESBSCI ,0000015540,0000010836,150909,        20881.2048 ,   .35,           73.0842 ,EFD_EDI_091515                                       
EFD014665080,010009,ABSOLUTE SALES CORPORATION         ,00859,NESBSCI ,0000016843,0000011284,150912,         3237.2130 ,   .35,           11.3302 ,EFD_EDI_091515                                       
EFD014665081,010009,ABSOLUTE SALES CORPORATION         ,00861,NESBSPA ,0000014395,0000010153,150904,         1575.2472 ,   .35,            5.5134 ,EFD_EDI_091515                                       
EFD014665081,010009,ABSOLUTE SALES CORPORATION         ,00861,NESBSPA ,0000015542,0000011157,150911,         4896.5952 ,   .35,           17.1381 ,EFD_EDI_091515                                       
EFD014665081,010009,ABSOLUTE SALES CORPORATION         ,00861,NESBSPA ,0000016845,0000011158,150911,         6327.7314 ,   .35,           22.1471 ,EFD_EDI_091515                                       
EFD014665082,010009,ABSOLUTE SALES CORPORATION         ,00862,NEBSSCR ,0000012081,0000010047,150904,        23064.5064 ,   .35,           80.7258 ,EFD_EDI_091515                                       
EFD014665082,010009,ABSOLUTE SALES CORPORATION         ,00862,NEBSSCR ,0000015543,0000011118,150911,         9230.7760 ,   .35,           32.3077 ,EFD_EDI_091515                                       
EFD014665083,010009,ABSOLUTE SALES CORPORATION         ,00863,NESBSBL ,0000015544,0000010553,150908,         9907.4520 ,   .35,           34.6761 ,EFD_EDI_091515                                       
EFD014665084,010013,ACS MFG. CORP.                     ,00855,NESUP   ,0000011207,0000009742,150902,         6128.1360 ,  1.00,           61.2814 ,EFD_EDI_091515                                       
EFD014665084,010013,ACS MFG. CORP.                     ,00855,NESUP   ,0000011247,0000009740,150902,        30640.6800 ,  1.00,          306.4068 ,EFD_EDI_091515                                       
EFD014665084,010013,ACS MFG. CORP.                     ,00855,NESUP   ,0000011314,0000009743,150902,        33191.4240 ,  1.00,          331.9142 ,EFD_EDI_091515                                       
EFD014665084,010013,ACS MFG. CORP.                     ,00855,NESUP   ,0000012833,0000009741,150902,         6519.7440 ,  1.00,           65.1974 ,EFD_EDI_091515                                       
EFD014665084,010013,ACS MFG. CORP.                     ,00855,NESUP   ,0000014952,0000010757,150910,         6742.0080 ,  1.00,           67.4201 ,EFD_EDI_091515                                       
EFD014665085,010013,ACS MFG. CORP.                     ,00856,NENEM   ,0000012834,0000009748,150902,        23422.3920 ,  1.00,          234.2239 ,EFD_EDI_091515                                       
EFD014665085,010013,ACS MFG. CORP.                     ,00856,NENEM   ,0000014962,0000010688,150909,        30958.2000 ,  1.00,          309.5820 ,EFD_EDI_091515                                       
EFD014665086,010013,ACS MFG. CORP.                     ,00857,NESBSSJ ,0000012835,0000010670,150908,        12383.2800 ,  1.00,          123.8328 ,EFD_EDI_091515                                       
EFD014665086,010013,ACS MFG. CORP.                     ,00857,NESBSSJ ,0000014963,0000010669,150908,         7265.9160 ,  1.00,           72.6592 ,EFD_EDI_091515                                       
