Inv. Number,Vendor,Store,Contract Number,AP Batch,Cut Off Date,Amt. Payable,Rate,EFD Amount,EFD Notes                                                                                                   
EFD014608215, 17727,  134,163462         ,AP538063  ,150615,          365.3600 ,   .25,             .9134 ,EFD_ECO_061515                                                                               
EFD014608216, 17727,  166,163464         ,AP538063  ,150615,          541.7200 ,   .25,            1.3543 ,EFD_ECO_061515                                                                               
EFD014608217, 17727,  279,163467         ,AP538063  ,150615,         2674.8800 ,   .25,            6.6872 ,EFD_ECO_061515                                                                               
EFD014608218, 17727,  701,163470         ,AP538063  ,150615,          789.4800 ,   .25,            1.9737 ,EFD_ECO_061515                                                                               
EFD014608219, 17727,  823,163474         ,AP538063  ,150615,          382.0800 ,   .25,             .9552 ,EFD_ECO_061515                                                                               
EFD014608220, 17727,  732,163475         ,AP538063  ,150615,          436.7200 ,   .25,            1.0918 ,EFD_ECO_061515                                                                               
EFD014608221, 17727,  840,163477         ,AP538063  ,150615,         2183.6000 ,   .25,            5.4590 ,EFD_ECO_061515                                                                               
EFD014608222, 17727,  103,163556         ,AP538063  ,150615,        73684.2780 ,   .25,          184.2106 ,EFD_ECO_061515                                                                               
EFD014608223, 17727,  114,163559         ,AP538063  ,150615,        38749.7420 ,   .25,           96.8743 ,EFD_ECO_061515                                                                               
EFD014608224, 17727,  121,163561         ,AP538063  ,150615,        75259.2410 ,   .25,          188.1481 ,EFD_ECO_061515                                                                               
EFD014608225, 17727,  103,163562         ,AP538063  ,150615,        51542.6940 ,   .25,          128.8567 ,EFD_ECO_061515                                                                               
EFD014608226, 17727,  129,163564         ,AP538063  ,150615,        61326.4610 ,   .25,          153.3161 ,EFD_ECO_061515                                                                               
EFD014608227, 17727,  134,163566         ,AP538063  ,150615,        82232.8530 ,   .25,          205.5821 ,EFD_ECO_061515                                                                               
EFD014608228, 17727,  166,163567         ,AP538063  ,150615,        53320.8340 ,   .25,          133.3020 ,EFD_ECO_061515                                                                               
EFD014608229, 17727,  185,163569         ,AP538063  ,150615,        16705.9550 ,   .25,           41.7648 ,EFD_ECO_061515                                                                               
EFD014608230, 17727,  186,163570         ,AP538063  ,150615,        71266.6510 ,   .25,          178.1666 ,EFD_ECO_061515                                                                               
EFD014608231, 17727,  270,163574         ,AP538063  ,150615,        15447.1910 ,   .25,           38.6179 ,EFD_ECO_061515                                                                               
EFD014608232, 17727,  114,163575         ,AP538063  ,150615,        29726.8100 ,   .25,           74.3170 ,EFD_ECO_061515                                                                               
EFD014608233, 17727,  276,163576         ,AP538063  ,150615,         3738.6750 ,   .25,            9.3466 ,EFD_ECO_061515                                                                               
EFD014608234, 17727,  283,163578         ,AP538063  ,150615,        21420.3710 ,   .25,           53.5509 ,EFD_ECO_061515                                                                               
EFD014608235, 17727,  285,163579         ,AP538063  ,150615,        25288.0810 ,   .25,           63.2202 ,EFD_ECO_061515                                                                               
EFD014608236, 17727,  121,163581         ,AP538063  ,150615,        62596.6010 ,   .25,          156.4915 ,EFD_ECO_061515                                                                               
EFD014608237, 17727,  709,163582         ,AP538063  ,150615,        52417.1970 ,   .25,          131.0429 ,EFD_ECO_061515                                                                               
EFD014608238, 17727,  129,163583         ,AP538063  ,150615,        62920.0210 ,   .25,          157.3000 ,EFD_ECO_061515                                                                               
EFD014608239, 17727,  106,163584         ,AP538063  ,150615,       121652.5590 ,   .25,          304.1313 ,EFD_ECO_061515                                                                               
EFD014608240, 17727,  134,163585         ,AP538063  ,150615,        55147.0500 ,   .25,          137.8676 ,EFD_ECO_061515                                                                               
EFD014608241, 17727,  711,163586         ,AP538063  ,150615,        13171.8890 ,   .25,           32.9297 ,EFD_ECO_061515                                                                               
EFD014608242, 17727,  112,163587         ,AP538063  ,150615,       180731.4880 ,   .25,          451.8287 ,EFD_ECO_061515                                                                               
EFD014608243, 17727,  116,163588         ,AP538063  ,150615,       156317.5170 ,   .25,          390.7937 ,EFD_ECO_061515                                                                               
EFD014608244, 17727,  713,163590         ,AP538063  ,150615,        31797.4890 ,   .25,           79.4937 ,EFD_ECO_061515                                                                               
EFD014608245, 17727,  125,163591         ,AP538063  ,150615,       219723.8330 ,   .25,          549.3095 ,EFD_ECO_061515                                                                               
EFD014608246, 17727,  716,163594         ,AP538063  ,150615,        14275.6010 ,   .25,           35.6890 ,EFD_ECO_061515                                                                               
EFD014608247, 17727,  265,163595         ,AP538063  ,150615,       161190.2240 ,   .25,          402.9755 ,EFD_ECO_061515                                                                               
EFD014608248, 17727,  718,163596         ,AP538063  ,150615,        18865.5990 ,   .25,           47.1639 ,EFD_ECO_061515                                                                               
EFD014608249, 17727,  166,163598         ,AP538063  ,150615,        22144.6740 ,   .25,           55.3616 ,EFD_ECO_061515                                                                               
EFD014608250, 17727,  279,163600         ,AP538063  ,150615,       309703.5750 ,   .25,          774.2589 ,EFD_ECO_061515                                                                               
EFD014608251, 17727,  728,163601         ,AP538063  ,150615,        18787.0410 ,   .25,           46.9676 ,EFD_ECO_061515                                                                               
