Inv. Number,Vendor,Store,Contract Number,AP Batch,Cut Off Date,Amt. Payable,Rate,EFD Amount,EFD Notes                                                                                                   
EFD014606175, 17727,  134,163462         ,AP242341  ,150607,          449.2800 ,   .25,            1.1232 ,EFD_ECO_060715                                                                               
EFD014606176, 17727,  166,163464         ,AP242341  ,150607,          600.5200 ,   .25,            1.5013 ,EFD_ECO_060715                                                                               
EFD014606177, 17727,  279,163467         ,AP242341  ,150607,         4131.9600 ,   .25,           10.3299 ,EFD_ECO_060715                                                                               
EFD014606178, 17727,  701,163470         ,AP242341  ,150607,          508.0800 ,   .25,            1.2702 ,EFD_ECO_060715                                                                               
EFD014606179, 17727,  823,163474         ,AP242341  ,150607,          982.6400 ,   .25,            2.4566 ,EFD_ECO_060715                                                                               
EFD014606180, 17727,  840,163477         ,AP242341  ,150607,         1217.7600 ,   .25,            3.0444 ,EFD_ECO_060715                                                                               
EFD014606181, 17727,  103,163556         ,AP242341  ,150607,        65687.8150 ,   .25,          164.2195 ,EFD_ECO_060715                                                                               
EFD014606182, 17727,  114,163559         ,AP242341  ,150607,        35251.4220 ,   .25,           88.1285 ,EFD_ECO_060715                                                                               
EFD014606183, 17727,  121,163561         ,AP242341  ,150607,        64537.1580 ,   .25,          161.3428 ,EFD_ECO_060715                                                                               
EFD014606184, 17727,  103,163562         ,AP242341  ,150607,        46596.9540 ,   .25,          116.4923 ,EFD_ECO_060715                                                                               
EFD014606185, 17727,  129,163564         ,AP242341  ,150607,        47528.6020 ,   .25,          118.8215 ,EFD_ECO_060715                                                                               
EFD014606186, 17727,  134,163566         ,AP242341  ,150607,        67949.3170 ,   .25,          169.8732 ,EFD_ECO_060715                                                                               
EFD014606187, 17727,  166,163567         ,AP242341  ,150607,        48405.1820 ,   .25,          121.0129 ,EFD_ECO_060715                                                                               
EFD014606188, 17727,  185,163569         ,AP242341  ,150607,        15659.5120 ,   .25,           39.1487 ,EFD_ECO_060715                                                                               
EFD014606189, 17727,  186,163570         ,AP242341  ,150607,        62358.5880 ,   .25,          155.8964 ,EFD_ECO_060715                                                                               
EFD014606190, 17727,  270,163574         ,AP242341  ,150607,        12599.5130 ,   .25,           31.4987 ,EFD_ECO_060715                                                                               
EFD014606191, 17727,  114,163575         ,AP242341  ,150607,        18768.7300 ,   .25,           46.9218 ,EFD_ECO_060715                                                                               
EFD014606192, 17727,  276,163576         ,AP242341  ,150607,         4131.5280 ,   .25,           10.3288 ,EFD_ECO_060715                                                                               
