Inv. Number,Vendor,Store,Contract Number,AP Batch,Cut Off Date,Amt. Payable,Rate,EFD Amount,EFD Notes                                                                                                   
EFD015224473, 17727,  103,163556         ,AP716576  ,151207,         2721.7620 ,   .25,            6.8044 ,EFD_ECO_120715                                                                               
EFD015224474, 17727,  121,163561         ,AP716576  ,151207,           44.4320 ,   .25,             .1110 ,EFD_ECO_120715                                                                               
EFD015224475, 17727,  103,163562         ,AP716576  ,151207,          880.4890 ,   .25,            2.2012 ,EFD_ECO_120715                                                                               
EFD015224476, 17727,  166,163567         ,AP716576  ,151207,          156.3160 ,   .25,             .3907 ,EFD_ECO_120715                                                                               
EFD015224477, 17727,  185,163569         ,AP716576  ,151207,           22.1760 ,   .25,             .0554 ,EFD_ECO_120715                                                                               
EFD015224478, 17727,  114,163575         ,AP716576  ,151207,          410.9600 ,   .25,            1.0274 ,EFD_ECO_120715                                                                               
EFD015224479, 17727,  121,163581         ,AP716576  ,151207,          230.5600 ,   .25,             .5764 ,EFD_ECO_120715                                                                               
EFD015224480, 17727,  129,163583         ,AP716576  ,151207,          264.8800 ,   .25,             .6622 ,EFD_ECO_120715                                                                               
EFD015224481, 17727,  106,163584         ,AP716576  ,151207,          976.5010 ,   .25,            2.4412 ,EFD_ECO_120715                                                                               
EFD015224482, 17727,  112,163587         ,AP716576  ,151207,          134.1140 ,   .25,             .3352 ,EFD_ECO_120715                                                                               
EFD015224483, 17727,  116,163588         ,AP716576  ,151207,          146.2000 ,   .25,             .3655 ,EFD_ECO_120715                                                                               
EFD015224484, 17727,  713,163590         ,AP716576  ,151207,           76.9840 ,   .25,             .1924 ,EFD_ECO_120715                                                                               
EFD015224485, 17727,  265,163595         ,AP716576  ,151207,           15.6580 ,   .25,             .0391 ,EFD_ECO_120715                                                                               
EFD015224486, 17727,  166,163598         ,AP716576  ,151207,          631.8400 ,   .25,            1.5796 ,EFD_ECO_120715                                                                               
EFD015224487, 17727,  706,163607         ,AP716576  ,151207,          514.2500 ,   .25,            1.2856 ,EFD_ECO_120715                                                                               
EFD015224488, 17727,  717,163610         ,AP716576  ,151207,           68.7230 ,   .25,             .1718 ,EFD_ECO_120715                                                                               
EFD015224489, 17727,  731,163617         ,AP716576  ,151207,           79.2000 ,   .25,             .1980 ,EFD_ECO_120715                                                                               
EFD015224490, 17727,  185,163620         ,AP716576  ,151207,           96.8000 ,   .25,             .2420 ,EFD_ECO_120715                                                                               
EFD015224491, 17727,  713,163624         ,AP716576  ,151207,           84.4800 ,   .25,             .2112 ,EFD_ECO_120715                                                                               
EFD015224492, 17727,  709,163627         ,AP716576  ,151207,          356.9020 ,   .25,             .8922 ,EFD_ECO_120715                                                                               
