Inv. Number,Vendor,Store,Contract Number,AP Batch,Cut Off Date,Amt. Payable,Rate,EFD Amount,EFD Notes                                                                                                   
EFD014672137, 10368,  857,171550         ,AP096682  ,151215,         5379.3500 ,  2.00,          107.5870 ,EFD_ECO_121515                                                                               
EFD014672138, 10368,  858,171551         ,AP096682  ,151215,         9220.5500 ,  2.00,          184.4110 ,EFD_ECO_121515                                                                               
EFD014672139, 10368,  861,171552         ,AP096682  ,151215,        10981.6300 ,  2.00,          219.6326 ,EFD_ECO_121515                                                                               
EFD014672140, 10368,  856,171554         ,AP096682  ,151215,         1435.3100 ,  2.00,           28.7062 ,EFD_ECO_121515                                                                               
EFD014672141, 18564,  863,169041         ,AP096682  ,151215,        19020.4120 ,   .75,          142.6530 ,EFD_ECO_121515                                                                               
EFD014672142, 12920,  863,165130         ,AP096682  ,151215,        38505.7500 ,   .25,           96.2643 ,EFD_ECO_121515                                                                               
EFD014672143, 10088,  861,171334         ,AP096682  ,151215,        27812.0340 ,   .25,           69.5300 ,EFD_ECO_121515                                                                               
EFD014672144, 11460,  861,171805         ,AP096682  ,151215,        33691.7140 ,   .50,          168.4585 ,EFD_ECO_121515                                                                               
EFD014672145, 10762,  861,171322         ,AP096682  ,151215,         6314.0000 ,  1.00,           63.1400 ,EFD_ECO_121515                                                                               
EFD014672146, 13481,  861,171802         ,AP096682  ,151215,         3818.2500 ,   .50,           19.0912 ,EFD_ECO_121515                                                                               
EFD014672147, 10933,  863,166541         ,AP096682  ,151215,         4312.0000 ,   .18,            7.7616 ,EFD_ECO_121515                                                                               
EFD014672148, 10933,  857,166543         ,AP096682  ,151215,         4312.0000 ,   .18,            7.7616 ,EFD_ECO_121515                                                                               
EFD014672149, 10933,  859,171713         ,AP096682  ,151215,        25188.0000 ,   .18,           45.3384 ,EFD_ECO_121515                                                                               
EFD014672150, 10933,  859,171718         ,AP096682  ,151215,         8516.2000 ,   .18,           15.3291 ,EFD_ECO_121515                                                                               
EFD014672151, 10933,  860,171719         ,AP096682  ,151215,         3781.7300 ,   .18,            6.8071 ,EFD_ECO_121515                                                                               
EFD014672152, 10933,  857,171866         ,AP096682  ,151215,        90243.5080 ,   .18,          162.4383 ,EFD_ECO_121515                                                                               
EFD014672153, 10933,  859,171867         ,AP096682  ,151215,       188954.6540 ,   .18,          340.1183 ,EFD_ECO_121515                                                                               
EFD014672154, 10933,  860,171868         ,AP096682  ,151215,        61150.4760 ,   .18,          110.0708 ,EFD_ECO_121515                                                                               
EFD014672155, 10933,  861,171869         ,AP096682  ,151215,       153223.2900 ,   .18,          275.8019 ,EFD_ECO_121515                                                                               
EFD014672156, 10933,  863,171870         ,AP096682  ,151215,       178943.7560 ,   .18,          322.0987 ,EFD_ECO_121515                                                                               
EFD014672157, 12031,  861,171836         ,AP096682  ,151215,        16231.6000 ,   .25,           40.5790 ,EFD_ECO_121515                                                                               
EFD014672158, 12864,  855,167152         ,AP096682  ,151215,         1759.1300 ,  1.00,           17.5913 ,EFD_ECO_121515                                                                               
EFD014672159, 12864,  860,167157         ,AP096682  ,151215,          868.3500 ,  1.00,            8.6835 ,EFD_ECO_121515                                                                               
EFD014672160, 12864,  861,167158         ,AP096682  ,151215,         3848.0000 ,  1.00,           38.4800 ,EFD_ECO_121515                                                                               
EFD014672161, 12864,  862,167159         ,AP096682  ,151215,         3632.2500 ,  1.00,           36.3225 ,EFD_ECO_121515                                                                               
EFD014672162, 13528,  855,168139         ,AP096682  ,151215,        16243.0700 ,  1.00,          162.4307 ,EFD_ECO_121515                                                                               
EFD014672163, 13528,  857,168141         ,AP096682  ,151215,         6229.0200 ,  1.00,           62.2902 ,EFD_ECO_121515                                                                               
EFD014672164, 13528,  859,168142         ,AP096682  ,151215,        18826.4400 ,  1.00,          188.2644 ,EFD_ECO_121515                                                                               
EFD014672165, 13528,  860,168143         ,AP096682  ,151215,         3912.0300 ,  1.00,           39.1203 ,EFD_ECO_121515                                                                               
EFD014672166, 13528,  861,168144         ,AP096682  ,151215,         4224.4200 ,  1.00,           42.2442 ,EFD_ECO_121515                                                                               
EFD014672167, 13528,  862,168145         ,AP096682  ,151215,         4930.8000 ,  1.00,           49.3080 ,EFD_ECO_121515                                                                               
EFD014672168, 13528,  855,171590         ,AP096682  ,151215,        10948.0000 ,  1.00,          109.4800 ,EFD_ECO_121515                                                                               
EFD014672169, 13528,  857,171592         ,AP096682  ,151215,         4088.0000 ,  1.00,           40.8800 ,EFD_ECO_121515                                                                               
EFD014672170, 13528,  859,171593         ,AP096682  ,151215,        14196.0000 ,  1.00,          141.9600 ,EFD_ECO_121515                                                                               
