Inv. Number,Vendor,Store,Contract Number,AP Batch,Cut Off Date,Amt. Payable,Rate,EFD Amount,EFD Notes                                                                                                   
EFD014877448, 17727,  103,163556         ,AP262082  ,151007,        66733.7820 ,   .25,          166.8344 ,EFD_ECO_100715                                                                               
EFD014877449, 17727,  114,163559         ,AP262082  ,151007,        67613.8720 ,   .25,          169.0346 ,EFD_ECO_100715                                                                               
EFD014877450, 17727,  121,163561         ,AP262082  ,151007,        85170.5350 ,   .25,          212.9263 ,EFD_ECO_100715                                                                               
EFD014877451, 17727,  103,163562         ,AP262082  ,151007,        46379.0150 ,   .25,          115.9475 ,EFD_ECO_100715                                                                               
EFD014877452, 17727,  129,163564         ,AP262082  ,151007,        63484.2450 ,   .25,          158.7106 ,EFD_ECO_100715                                                                               
EFD014877453, 17727,  134,163566         ,AP262082  ,151007,       117767.5780 ,   .25,          294.4189 ,EFD_ECO_100715                                                                               
EFD014877454, 17727,  166,163567         ,AP262082  ,151007,        53202.9660 ,   .25,          133.0074 ,EFD_ECO_100715                                                                               
EFD014877455, 17727,  185,163569         ,AP262082  ,151007,        20150.9890 ,   .25,           50.3774 ,EFD_ECO_100715                                                                               
EFD014877456, 17727,  186,163570         ,AP262082  ,151007,        84607.8490 ,   .25,          211.5196 ,EFD_ECO_100715                                                                               
EFD014877457, 17727,  270,163574         ,AP262082  ,151007,        12993.1960 ,   .25,           32.4829 ,EFD_ECO_100715                                                                               
EFD014877458, 17727,  114,163575         ,AP262082  ,151007,        30043.8290 ,   .25,           75.1095 ,EFD_ECO_100715                                                                               
EFD014877459, 17727,  283,163578         ,AP262082  ,151007,        24954.5750 ,   .25,           62.3864 ,EFD_ECO_100715                                                                               
EFD014877460, 17727,  285,163579         ,AP262082  ,151007,        26549.5590 ,   .25,           66.3738 ,EFD_ECO_100715                                                                               
EFD014877461, 17727,  121,163581         ,AP262082  ,151007,        71163.8830 ,   .25,          177.9097 ,EFD_ECO_100715                                                                               
EFD014877462, 17727,  709,163582         ,AP262082  ,151007,        42966.9520 ,   .25,          107.4173 ,EFD_ECO_100715                                                                               
EFD014877463, 17727,  129,163583         ,AP262082  ,151007,        64921.8960 ,   .25,          162.3047 ,EFD_ECO_100715                                                                               
EFD014877464, 17727,  106,163584         ,AP262082  ,151007,       128712.1290 ,   .25,          321.7803 ,EFD_ECO_100715                                                                               
EFD014877465, 17727,  134,163585         ,AP262082  ,151007,        81083.7150 ,   .25,          202.7092 ,EFD_ECO_100715                                                                               
EFD014877466, 17727,  711,163586         ,AP262082  ,151007,        10848.5080 ,   .25,           27.1212 ,EFD_ECO_100715                                                                               
EFD014877467, 17727,  112,163587         ,AP262082  ,151007,       171986.0660 ,   .25,          429.9651 ,EFD_ECO_100715                                                                               
EFD014877468, 17727,  116,163588         ,AP262082  ,151007,       165015.6230 ,   .25,          412.5390 ,EFD_ECO_100715                                                                               
EFD014877469, 17727,  713,163590         ,AP262082  ,151007,        29952.1710 ,   .25,           74.8804 ,EFD_ECO_100715                                                                               
EFD014877470, 17727,  125,163591         ,AP262082  ,151007,       223555.3020 ,   .25,          558.8882 ,EFD_ECO_100715                                                                               
EFD014877471, 17727,  716,163594         ,AP262082  ,151007,        11873.8560 ,   .25,           29.6846 ,EFD_ECO_100715                                                                               
EFD014877472, 17727,  265,163595         ,AP262082  ,151007,       147730.1210 ,   .25,          369.3253 ,EFD_ECO_100715                                                                               
EFD014877473, 17727,  718,163596         ,AP262082  ,151007,        11847.5630 ,   .25,           29.6189 ,EFD_ECO_100715                                                                               
EFD014877474, 17727,  166,163598         ,AP262082  ,151007,        26677.2430 ,   .25,           66.6931 ,EFD_ECO_100715                                                                               
EFD014877475, 17727,  279,163600         ,AP262082  ,151007,       291827.3200 ,   .25,          729.5683 ,EFD_ECO_100715                                                                               
EFD014877476, 17727,  728,163601         ,AP262082  ,151007,        17825.0070 ,   .25,           44.5625 ,EFD_ECO_100715                                                                               
EFD014877477, 17727,  849,163602         ,AP262082  ,151007,        35675.7960 ,   .25,           89.1894 ,EFD_ECO_100715                                                                               
EFD014877478, 17727,  701,163603         ,AP262082  ,151007,       185049.9340 ,   .25,          462.6248 ,EFD_ECO_100715                                                                               
EFD014877479, 17727,  731,163604         ,AP262082  ,151007,        30940.3900 ,   .25,           77.3509 ,EFD_ECO_100715                                                                               
EFD014877480, 17727,  270,163605         ,AP262082  ,151007,         9283.9470 ,   .25,           23.2098 ,EFD_ECO_100715                                                                               
EFD014877481, 17727,  848,163606         ,AP262082  ,151007,         9114.4440 ,   .25,           22.7861 ,EFD_ECO_100715                                                                               
EFD014877482, 17727,  706,163607         ,AP262082  ,151007,       182556.6910 ,   .25,          456.3917 ,EFD_ECO_100715                                                                               
EFD014877483, 17727,  732,163608         ,AP262082  ,151007,        22801.5290 ,   .25,           57.0038 ,EFD_ECO_100715                                                                               
EFD014877484, 17727,  830,163609         ,AP262082  ,151007,        13038.4300 ,   .25,           32.5960 ,EFD_ECO_100715                                                                               
EFD014877485, 17727,  717,163610         ,AP262082  ,151007,       274524.6120 ,   .25,          686.3115 ,EFD_ECO_100715                                                                               
EFD014877486, 17727,  822,163611         ,AP262082  ,151007,         6724.5730 ,   .25,           16.8114 ,EFD_ECO_100715                                                                               
EFD014877487, 17727,  823,163612         ,AP262082  ,151007,        83590.5490 ,   .25,          208.9763 ,EFD_ECO_100715                                                                               
EFD014877488, 17727,  822,163613         ,AP262082  ,151007,         7988.1560 ,   .25,           19.9703 ,EFD_ECO_100715                                                                               
EFD014877489, 17727,  823,163614         ,AP262082  ,151007,        91471.2260 ,   .25,          228.6780 ,EFD_ECO_100715                                                                               
EFD014877490, 17727,  840,163615         ,AP262082  ,151007,       298928.6180 ,   .25,          747.3215 ,EFD_ECO_100715                                                                               
EFD014877491, 17727,  732,163616         ,AP262082  ,151007,        23223.4910 ,   .25,           58.0587 ,EFD_ECO_100715                                                                               
EFD014877492, 17727,  731,163617         ,AP262082  ,151007,        16731.9740 ,   .25,           41.8299 ,EFD_ECO_100715                                                                               
EFD014877493, 17727,  830,163618         ,AP262082  ,151007,        14898.1380 ,   .25,           37.2453 ,EFD_ECO_100715                                                                               
EFD014877494, 17727,  728,163619         ,AP262082  ,151007,        16071.2920 ,   .25,           40.1782 ,EFD_ECO_100715                                                                               
EFD014877495, 17727,  185,163620         ,AP262082  ,151007,        19146.0120 ,   .25,           47.8650 ,EFD_ECO_100715                                                                               
EFD014877496, 17727,  718,163621         ,AP262082  ,151007,         9878.9430 ,   .25,           24.6973 ,EFD_ECO_100715                                                                               
EFD014877497, 17727,  716,163622         ,AP262082  ,151007,        12291.4410 ,   .25,           30.7286 ,EFD_ECO_100715                                                                               
EFD014877498, 17727,  848,163623         ,AP262082  ,151007,        18136.9070 ,   .25,           45.3422 ,EFD_ECO_100715                                                                               
EFD014877499, 17727,  713,163624         ,AP262082  ,151007,        17892.8740 ,   .25,           44.7321 ,EFD_ECO_100715                                                                               
EFD014877500, 17727,  711,163625         ,AP262082  ,151007,         9601.2260 ,   .25,           24.0030 ,EFD_ECO_100715                                                                               
EFD014877501, 17727,  849,163626         ,AP262082  ,151007,        52953.2820 ,   .25,          132.3832 ,EFD_ECO_100715                                                                               
EFD014877502, 17727,  709,163627         ,AP262082  ,151007,        15200.3470 ,   .25,           38.0008 ,EFD_ECO_100715                                                                               
EFD014877503, 17727,  285,163629         ,AP262082  ,151007,        25336.4360 ,   .25,           63.3410 ,EFD_ECO_100715                                                                               
EFD014877504, 17727,  283,163630         ,AP262082  ,151007,        12841.8510 ,   .25,           32.1046 ,EFD_ECO_100715                                                                               
EFD014877505, 17727,  186,163664         ,AP262082  ,151007,        48739.4560 ,   .25,          121.8486 ,EFD_ECO_100715                                                                               
EFD014877506, 10156,  101,141048         ,AP262082  ,151007,         3835.5600 ,   .50,           19.1778 ,EFD_ECO_100715                                                                               
EFD014877507, 10156,  102,141049         ,AP262082  ,151007,         2429.8360 ,   .50,           12.1491 ,EFD_ECO_100715                                                                               
EFD014877508, 10156,  106,141051         ,AP262082  ,151007,        15189.2280 ,   .50,           75.9461 ,EFD_ECO_100715                                                                               
EFD014877509, 10156,  108,141052         ,AP262082  ,151007,         4491.2250 ,   .50,           22.4561 ,EFD_ECO_100715                                                                               
EFD014877510, 10156,  109,141053         ,AP262082  ,151007,         3627.1900 ,   .50,           18.1359 ,EFD_ECO_100715                                                                               
EFD014877511, 10156,  115,141058         ,AP262082  ,151007,         3137.0050 ,   .50,           15.6850 ,EFD_ECO_100715                                                                               
EFD014877512, 10156,  116,141059         ,AP262082  ,151007,         4869.0610 ,   .50,           24.3453 ,EFD_ECO_100715                                                                               
EFD014877513, 10156,  118,141060         ,AP262082  ,151007,         2716.1230 ,   .50,           13.5806 ,EFD_ECO_100715                                                                               
EFD014877514, 10156,  119,141061         ,AP262082  ,151007,         7262.6140 ,   .50,           36.3130 ,EFD_ECO_100715                                                                               
EFD014877515, 10156,  121,141062         ,AP262082  ,151007,         4390.6360 ,   .50,           21.9531 ,EFD_ECO_100715                                                                               
EFD014877516, 10156,  122,141063         ,AP262082  ,151007,         5025.8780 ,   .50,           25.1293 ,EFD_ECO_100715                                                                               
EFD014877517, 10156,  156,141070         ,AP262082  ,151007,         5508.0680 ,   .50,           27.5403 ,EFD_ECO_100715                                                                               
EFD014877518, 10156,  147,141072         ,AP262082  ,151007,         1574.4040 ,   .50,            7.8720 ,EFD_ECO_100715                                                                               
EFD014877519, 10225,  726,101841         ,AP262082  ,151007,         1364.3630 ,   .25,            3.4109 ,EFD_ECO_100715                                                                               
EFD014877520, 10225,  726,101842         ,AP262082  ,151007,        63783.7030 ,   .25,          159.4592 ,EFD_ECO_100715                                                                               
EFD014877521, 10225,  726,101843         ,AP262082  ,151007,         1214.9690 ,   .25,            3.0374 ,EFD_ECO_100715                                                                               
EFD014877522, 10225,  163,112017         ,AP262082  ,151007,        13982.4470 ,   .25,           34.9561 ,EFD_ECO_100715                                                                               
EFD014877523, 10225,  163,112036         ,AP262082  ,151007,        20820.4830 ,   .25,           52.0512 ,EFD_ECO_100715                                                                               
EFD014877524, 10225,  163,112039         ,AP262082  ,151007,         1951.0200 ,   .25,            4.8775 ,EFD_ECO_100715                                                                               
EFD014877525, 10225,  724,112041         ,AP262082  ,151007,         3936.7600 ,   .25,            9.8419 ,EFD_ECO_100715                                                                               
EFD014877526, 10225,  724,112042         ,AP262082  ,151007,          389.0340 ,   .25,             .9725 ,EFD_ECO_100715                                                                               
EFD014877527, 10225,  730,112044         ,AP262082  ,151007,        56239.7170 ,   .25,          140.5992 ,EFD_ECO_100715                                                                               
EFD014877528, 10225,  730,112045         ,AP262082  ,151007,         1624.4170 ,   .25,            4.0610 ,EFD_ECO_100715                                                                               
EFD014877529, 10225,  170,112047         ,AP262082  ,151007,         3839.0380 ,   .25,            9.5975 ,EFD_ECO_100715                                                                               
EFD014877530, 10225,  170,112048         ,AP262082  ,151007,          464.3520 ,   .25,            1.1608 ,EFD_ECO_100715                                                                               
EFD014877531, 10225,  160,112051         ,AP262082  ,151007,          835.2550 ,   .25,            2.0881 ,EFD_ECO_100715                                                                               
EFD014877532, 10225,  124,112052         ,AP262082  ,151007,         3655.7650 ,   .25,            9.1394 ,EFD_ECO_100715                                                                               
EFD014877533, 10225,  124,112054         ,AP262082  ,151007,          657.5210 ,   .25,            1.6438 ,EFD_ECO_100715                                                                               
EFD014877534, 10225,  187,112993         ,AP262082  ,151007,         1858.9450 ,   .25,            4.6473 ,EFD_ECO_100715                                                                               
EFD014877535, 10225,  187,112994         ,AP262082  ,151007,       255857.7200 ,   .25,          639.6443 ,EFD_ECO_100715                                                                               
EFD014877536, 10225,  187,112995         ,AP262082  ,151007,        10600.5570 ,   .25,           26.5013 ,EFD_ECO_100715                                                                               
EFD014877537, 10225,  237,117083         ,AP262082  ,151007,         2042.8690 ,   .25,            5.1071 ,EFD_ECO_100715                                                                               
