Inv. Number,Vendor,Store,Contract Number,AP Batch,Cut Off Date,Amt. Payable,Rate,EFD Amount,EFD Notes                                                                                                   
EFD014661712, 10368,  857,171550         ,AP006334  ,150715,          578.2500 ,  2.00,           11.5650 ,EFD_ECO_071515                                                                               
EFD014661713, 10368,  858,171551         ,AP006334  ,150715,           45.1200 ,  2.00,             .9024 ,EFD_ECO_071515                                                                               
EFD014661714, 10368,  856,171554         ,AP006334  ,150715,          135.5000 ,  2.00,            2.7100 ,EFD_ECO_071515                                                                               
EFD014661715, 18564,  863,169041         ,AP006334  ,150715,        18410.7330 ,   .75,          138.0804 ,EFD_ECO_071515                                                                               
EFD014661716, 12920,  863,165130         ,AP006334  ,150715,        33801.7500 ,   .25,           84.5043 ,EFD_ECO_071515                                                                               
EFD014661717, 10088,  861,167265         ,AP006334  ,150715,         1417.3130 ,   .25,            3.5432 ,EFD_ECO_071515                                                                               
EFD014661718, 10088,  861,171334         ,AP006334  ,150715,        20932.9010 ,   .25,           52.3322 ,EFD_ECO_071515                                                                               
EFD014661719, 10762,  861,171322         ,AP006334  ,150715,         3099.6000 ,  1.00,           30.9960 ,EFD_ECO_071515                                                                               
EFD014661720, 10933,  863,166363         ,AP006334  ,150715,        63592.8320 ,   .18,          114.4670 ,EFD_ECO_071515                                                                               
EFD014661721, 10933,  861,166364         ,AP006334  ,150715,        49968.8850 ,   .18,           89.9439 ,EFD_ECO_071515                                                                               
EFD014661722, 10933,  857,166365         ,AP006334  ,150715,        11398.7130 ,   .18,           20.5176 ,EFD_ECO_071515                                                                               
EFD014661723, 10933,  857,171583         ,AP006334  ,150715,        37964.1960 ,   .18,           68.3355 ,EFD_ECO_071515                                                                               
EFD014661724, 10933,  861,171584         ,AP006334  ,150715,       141264.3600 ,   .18,          254.2758 ,EFD_ECO_071515                                                                               
EFD014661725, 10933,  863,171586         ,AP006334  ,150715,       113848.4440 ,   .18,          204.9271 ,EFD_ECO_071515                                                                               
EFD014661726, 12864,  855,167152         ,AP006334  ,150715,          579.5300 ,  1.00,            5.7953 ,EFD_ECO_071515                                                                               
EFD014661727, 12864,  856,167153         ,AP006334  ,150715,          190.4800 ,  1.00,            1.9048 ,EFD_ECO_071515                                                                               
EFD014661728, 12864,  858,167155         ,AP006334  ,150715,           82.7900 ,  1.00,             .8279 ,EFD_ECO_071515                                                                               
EFD014661729, 12864,  861,167158         ,AP006334  ,150715,          165.5800 ,  1.00,            1.6558 ,EFD_ECO_071515                                                                               
EFD014661730, 13528,  861,167574         ,AP006334  ,150715,          285.6000 ,  1.00,            2.8560 ,EFD_ECO_071515                                                                               
EFD014661731, 13528,  855,168139         ,AP006334  ,150715,        19377.7000 ,  1.00,          193.7770 ,EFD_ECO_071515                                                                               
EFD014661732, 13528,  857,168141         ,AP006334  ,150715,         8204.2400 ,  1.00,           82.0424 ,EFD_ECO_071515                                                                               
EFD014661733, 13528,  859,168142         ,AP006334  ,150715,        34136.3300 ,  1.00,          341.3633 ,EFD_ECO_071515                                                                               
EFD014661734, 13528,  860,168143         ,AP006334  ,150715,         4067.4400 ,  1.00,           40.6744 ,EFD_ECO_071515                                                                               
EFD014661735, 13528,  861,168144         ,AP006334  ,150715,         5728.3200 ,  1.00,           57.2832 ,EFD_ECO_071515                                                                               
EFD014661736, 13528,  862,168145         ,AP006334  ,150715,        20039.0700 ,  1.00,          200.3907 ,EFD_ECO_071515                                                                               
EFD014661737, 13528,  859,171593         ,AP006334  ,150715,          266.0000 ,  1.00,            2.6600 ,EFD_ECO_071515                                                                               
EFD014661738, 12399,  860,165065         ,AP006334  ,150715,          668.5000 ,   .75,            5.0137 ,EFD_ECO_071515                                                                               
EFD014661739, 12399,  861,165068         ,AP006334  ,150715,          731.0000 ,   .75,            5.4825 ,EFD_ECO_071515                                                                               
EFD014661740, 12399,  859,165095         ,AP006334  ,150715,          790.5000 ,   .75,            5.9287 ,EFD_ECO_071515                                                                               
EFD014661741, 12399,  855,165542         ,AP006334  ,150715,          420.7500 ,   .75,            3.1556 ,EFD_ECO_071515                                                                               
EFD014661742, 12399,  856,165781         ,AP006334  ,150715,          595.0000 ,   .75,            4.4625 ,EFD_ECO_071515                                                                               
EFD014661743, 12984,  858,167145         ,AP006334  ,150715,         1185.7500 ,  1.00,           11.8575 ,EFD_ECO_071515                                                                               
EFD014661744, 18551,  855,169835         ,AP006334  ,150715,          111.0000 ,  1.00,            1.1100 ,EFD_ECO_071515                                                                               
EFD014661745, 18551,  860,169837         ,AP006334  ,150715,           83.2500 ,  1.00,             .8325 ,EFD_ECO_071515                                                                               
EFD014661746, 18551,  861,169838         ,AP006334  ,150715,         2160.7500 ,  1.00,           21.6075 ,EFD_ECO_071515                                                                               
EFD014661747, 18551,  862,169840         ,AP006334  ,150715,         4260.7500 ,  1.00,           42.6075 ,EFD_ECO_071515                                                                               
EFD014661748, 16475,  856,170956         ,AP006334  ,150715,           42.3000 ,   .50,             .2115 ,EFD_ECO_071515                                                                               
EFD014661749, 12479,  861,166753         ,AP006334  ,150715,        10160.2530 ,  1.00,          101.6025 ,EFD_ECO_071515                                                                               
EFD014661750, 10844,  855,167919         ,AP006334  ,150715,        11897.8980 ,   .40,           47.5915 ,EFD_ECO_071515                                                                               
EFD014661751, 10844,  856,167920         ,AP006334  ,150715,         2972.0150 ,   .40,           11.8880 ,EFD_ECO_071515                                                                               
EFD014661752, 10844,  857,167921         ,AP006334  ,150715,         3727.7720 ,   .40,           14.9110 ,EFD_ECO_071515                                                                               
EFD014661753, 10844,  858,167922         ,AP006334  ,150715,         2854.5900 ,   .40,           11.4183 ,EFD_ECO_071515                                                                               
EFD014661754, 10844,  859,167923         ,AP006334  ,150715,        12014.1600 ,   .40,           48.0566 ,EFD_ECO_071515                                                                               
EFD014661755, 10844,  860,167924         ,AP006334  ,150715,        14605.2320 ,   .40,           58.4209 ,EFD_ECO_071515                                                                               
EFD014661756, 10844,  861,167925         ,AP006334  ,150715,        15669.3630 ,   .40,           62.6774 ,EFD_ECO_071515                                                                               
