Inv. Number,Vendor,Store,Contract Number,AP Batch,Cut Off Date,Amt. Payable,Rate,EFD Amount,EFD Notes                                                                                                   
EFD014726943, 14803,  194,143874         ,AP614394  ,150715,         3575.2500 ,  1.00,           35.7525 ,EFD_ECO_071515                                                                               
EFD014726944, 14803,  250,143875         ,AP614394  ,150715,         8347.1700 ,  1.00,           83.4717 ,EFD_ECO_071515                                                                               
EFD014726945, 14803,  264,143877         ,AP614394  ,150715,          467.8600 ,  1.00,            4.6786 ,EFD_ECO_071515                                                                               
EFD014726946, 14803,  851,144810         ,AP614394  ,150715,         1363.9300 ,  1.00,           13.6393 ,EFD_ECO_071515                                                                               
EFD014726947, 14803,  101,161217         ,AP614394  ,150715,         5818.4000 ,  1.00,           58.1840 ,EFD_ECO_071515                                                                               
EFD014726949, 14803,  102,161218         ,AP614394  ,150715,        14941.1600 ,  1.00,          149.4116 ,EFD_ECO_071515                                                                               
EFD014726950, 14803,  103,161219         ,AP614394  ,150715,         7484.0800 ,  1.00,           74.8408 ,EFD_ECO_071515                                                                               
EFD014726951, 14803,  104,161220         ,AP614394  ,150715,        10084.5200 ,  1.00,          100.8452 ,EFD_ECO_071515                                                                               
EFD014726952, 14803,  105,161221         ,AP614394  ,150715,         1837.5200 ,  1.00,           18.3752 ,EFD_ECO_071515                                                                               
EFD014726953, 14803,  106,161222         ,AP614394  ,150715,         6217.6000 ,  1.00,           62.1760 ,EFD_ECO_071515                                                                               
EFD014726954, 14803,  107,161223         ,AP614394  ,150715,         3432.5200 ,  1.00,           34.3252 ,EFD_ECO_071515                                                                               
EFD014726955, 14803,  108,161224         ,AP614394  ,150715,        14972.5200 ,  1.00,          149.7252 ,EFD_ECO_071515                                                                               
EFD014726956, 14803,  109,161225         ,AP614394  ,150715,         9004.1400 ,  1.00,           90.0414 ,EFD_ECO_071515                                                                               
EFD014726957, 14803,  110,161226         ,AP614394  ,150715,         5522.7000 ,  1.00,           55.2270 ,EFD_ECO_071515                                                                               
EFD014726958, 14803,  111,161227         ,AP614394  ,150715,        14073.3200 ,  1.00,          140.7332 ,EFD_ECO_071515                                                                               
