Inv Number,Ven Code,Ven Name,Store,Str Name,PO Number,RCR Number,RCR Date,RCR Amount,EFD Rate,EFD Amount,EFD Notes                                                                                      
EFD014667034,010009,ABSOLUTE SALES CORPORATION         ,00855,NESUP   ,0000022204,0000016042,151005,        27304.0020 ,   .35,           95.5640 ,EFD_EDI_101515                                       
EFD014667034,010009,ABSOLUTE SALES CORPORATION         ,00855,NESUP   ,0000022666,0000016041,151005,         7847.7432 ,   .35,           27.4671 ,EFD_EDI_101515                                       
EFD014667034,010009,ABSOLUTE SALES CORPORATION         ,00855,NESUP   ,0000024823,0000017844,151013,        14329.7708 ,   .35,           50.1542 ,EFD_EDI_101515                                       
EFD014667035,010009,ABSOLUTE SALES CORPORATION         ,00856,NENEM   ,0000022667,0000017498,151010,          179.3496 ,   .35,             .6277 ,EFD_EDI_101515                                       
EFD014667035,010009,ABSOLUTE SALES CORPORATION         ,00856,NENEM   ,0000024824,0000017499,151010,          462.3996 ,   .35,            1.6184 ,EFD_EDI_101515                                       
EFD014667036,010009,ABSOLUTE SALES CORPORATION         ,00857,NESBSSJ ,0000022206,0000015599,151002,         4947.0000 ,   .35,           17.3145 ,EFD_EDI_101515                                       
EFD014667036,010009,ABSOLUTE SALES CORPORATION         ,00857,NESBSSJ ,0000022668,0000015825,151003,         6628.2990 ,   .35,           23.1990 ,EFD_EDI_101515                                       
EFD014667036,010009,ABSOLUTE SALES CORPORATION         ,00857,NESBSSJ ,0000024825,0000018751,151015,         6313.5246 ,   .35,           22.0973 ,EFD_EDI_101515                                       
EFD014667037,010009,ABSOLUTE SALES CORPORATION         ,00858,NESSA   ,0000015539,0000016046,151005,         9114.2268 ,   .35,           31.8998 ,EFD_EDI_101515                                       
EFD014667037,010009,ABSOLUTE SALES CORPORATION         ,00858,NESSA   ,0000016842,0000016044,151005,         1498.6512 ,   .35,            5.2453 ,EFD_EDI_101515                                       
EFD014667037,010009,ABSOLUTE SALES CORPORATION         ,00858,NESSA   ,0000018550,0000016045,151005,         4495.9536 ,   .35,           15.7358 ,EFD_EDI_101515                                       
EFD014667037,010009,ABSOLUTE SALES CORPORATION         ,00858,NESSA   ,0000020878,0000016043,151005,         5540.2800 ,   .35,           19.3910 ,EFD_EDI_101515                                       
EFD014667037,010009,ABSOLUTE SALES CORPORATION         ,00858,NESSA   ,0000022022,0000016048,151005,        19982.0160 ,   .35,           69.9371 ,EFD_EDI_101515                                       
EFD014667037,010009,ABSOLUTE SALES CORPORATION         ,00858,NESSA   ,0000022207,0000016049,151005,        13667.0004 ,   .35,           47.8345 ,EFD_EDI_101515                                       
