Inv. Number,Vendor,Store,Contract Number,AP Batch,Cut Off Date,Amt. Payable,Rate,EFD Amount,EFD Notes                                                                                                   
EFD015128642, 14803,  194,143874         ,AP399364  ,151130,         4399.4200 ,  1.00,           43.9942 ,EFD_ECO_113015                                                                               
EFD015128643, 14803,  250,143875         ,AP399364  ,151130,        10013.9900 ,  1.00,          100.1399 ,EFD_ECO_113015                                                                               
EFD015128644, 14803,  264,143877         ,AP399364  ,151130,          247.5100 ,  1.00,            2.4751 ,EFD_ECO_113015                                                                               
EFD015128645, 14803,  101,161217         ,AP399364  ,151130,         9361.3000 ,  1.00,           93.6130 ,EFD_ECO_113015                                                                               
EFD015128646, 14803,  102,161218         ,AP399364  ,151130,        20098.8800 ,  1.00,          200.9888 ,EFD_ECO_113015                                                                               
EFD015128647, 14803,  103,161219         ,AP399364  ,151130,        15621.9200 ,  1.00,          156.2192 ,EFD_ECO_113015                                                                               
EFD015128648, 14803,  104,161220         ,AP399364  ,151130,        12622.8600 ,  1.00,          126.2286 ,EFD_ECO_113015                                                                               
EFD015128649, 14803,  105,161221         ,AP399364  ,151130,        14634.1600 ,  1.00,          146.3416 ,EFD_ECO_113015                                                                               
EFD015128650, 14803,  106,161222         ,AP399364  ,151130,        12088.3600 ,  1.00,          120.8836 ,EFD_ECO_113015                                                                               
EFD015128651, 14803,  107,161223         ,AP399364  ,151130,         5951.2800 ,  1.00,           59.5128 ,EFD_ECO_113015                                                                               
EFD015128652, 14803,  108,161224         ,AP399364  ,151130,        11686.6800 ,  1.00,          116.8668 ,EFD_ECO_113015                                                                               
EFD015128653, 14803,  109,161225         ,AP399364  ,151130,        10396.1400 ,  1.00,          103.9614 ,EFD_ECO_113015                                                                               
EFD015128654, 14803,  110,161226         ,AP399364  ,151130,        11646.2800 ,  1.00,          116.4628 ,EFD_ECO_113015                                                                               
EFD015128655, 14803,  111,161227         ,AP399364  ,151130,        17681.9200 ,  1.00,          176.8192 ,EFD_ECO_113015                                                                               
EFD015128656, 14803,  112,161228         ,AP399364  ,151130,        18478.9400 ,  1.00,          184.7894 ,EFD_ECO_113015                                                                               
EFD015128657, 14803,  113,161229         ,AP399364  ,151130,        13879.1800 ,  1.00,          138.7918 ,EFD_ECO_113015                                                                               
EFD015128658, 14803,  115,161230         ,AP399364  ,151130,        19696.6400 ,  1.00,          196.9664 ,EFD_ECO_113015                                                                               
EFD015128659, 14803,  116,161231         ,AP399364  ,151130,        11039.2800 ,  1.00,          110.3928 ,EFD_ECO_113015                                                                               
EFD015128660, 14803,  117,161232         ,AP399364  ,151130,         7677.7200 ,  1.00,           76.7772 ,EFD_ECO_113015                                                                               
EFD015128661, 14803,  118,161233         ,AP399364  ,151130,        12171.4200 ,  1.00,          121.7142 ,EFD_ECO_113015                                                                               
EFD015128662, 14803,  119,161234         ,AP399364  ,151130,         5516.9000 ,  1.00,           55.1690 ,EFD_ECO_113015                                                                               
EFD015128663, 14803,  121,161235         ,AP399364  ,151130,        17961.2600 ,  1.00,          179.6126 ,EFD_ECO_113015                                                                               
EFD015128664, 14803,  122,161236         ,AP399364  ,151130,        26428.3200 ,  1.00,          264.2832 ,EFD_ECO_113015                                                                               
EFD015128665, 14803,  123,161237         ,AP399364  ,151130,         6487.8800 ,  1.00,           64.8788 ,EFD_ECO_113015                                                                               
EFD015128666, 14803,  124,161239         ,AP399364  ,151130,         4457.7400 ,  1.00,           44.5774 ,EFD_ECO_113015                                                                               
EFD015128667, 14803,  125,161240         ,AP399364  ,151130,         6099.4600 ,  1.00,           60.9946 ,EFD_ECO_113015                                                                               
EFD015128668, 14803,  126,161241         ,AP399364  ,151130,         4455.9600 ,  1.00,           44.5596 ,EFD_ECO_113015                                                                               
EFD015128669, 14803,  127,161242         ,AP399364  ,151130,        15299.9200 ,  1.00,          152.9992 ,EFD_ECO_113015                                                                               
EFD015128670, 14803,  130,161243         ,AP399364  ,151130,         8775.5600 ,  1.00,           87.7556 ,EFD_ECO_113015                                                                               
EFD015128671, 14803,  131,161244         ,AP399364  ,151130,         7340.4400 ,  1.00,           73.4044 ,EFD_ECO_113015                                                                               
EFD015128672, 14803,  134,161245         ,AP399364  ,151130,         9334.3600 ,  1.00,           93.3436 ,EFD_ECO_113015                                                                               
EFD015128673, 14803,  135,161246         ,AP399364  ,151130,        14732.5000 ,  1.00,          147.3250 ,EFD_ECO_113015                                                                               
EFD015128674, 14803,  138,161248         ,AP399364  ,151130,        22743.7200 ,  1.00,          227.4372 ,EFD_ECO_113015                                                                               
EFD015128675, 14803,  140,161249         ,AP399364  ,151130,        13374.3200 ,  1.00,          133.7432 ,EFD_ECO_113015                                                                               
EFD015128676, 14803,  141,161250         ,AP399364  ,151130,        22671.6800 ,  1.00,          226.7168 ,EFD_ECO_113015                                                                               
EFD015128677, 14803,  147,161251         ,AP399364  ,151130,        33562.5000 ,  1.00,          335.6250 ,EFD_ECO_113015                                                                               
EFD015128678, 14803,  149,161252         ,AP399364  ,151130,        14986.4600 ,  1.00,          149.8646 ,EFD_ECO_113015                                                                               
EFD015128679, 14803,  150,161253         ,AP399364  ,151130,        10511.6200 ,  1.00,          105.1162 ,EFD_ECO_113015                                                                               
EFD015128680, 14803,  153,161254         ,AP399364  ,151130,         3701.4600 ,  1.00,           37.0146 ,EFD_ECO_113015                                                                               
EFD015128681, 14803,  156,161255         ,AP399364  ,151130,        10984.7400 ,  1.00,          109.8474 ,EFD_ECO_113015                                                                               
EFD015128682, 14803,  158,161256         ,AP399364  ,151130,         5922.4000 ,  1.00,           59.2240 ,EFD_ECO_113015                                                                               
EFD015128683, 14803,  160,161257         ,AP399364  ,151130,         9341.6000 ,  1.00,           93.4160 ,EFD_ECO_113015                                                                               
EFD015128684, 14803,  161,161258         ,AP399364  ,151130,        13604.9800 ,  1.00,          136.0498 ,EFD_ECO_113015                                                                               
EFD015128685, 14803,  162,161259         ,AP399364  ,151130,         4468.4200 ,  1.00,           44.6842 ,EFD_ECO_113015                                                                               
EFD015128686, 14803,  169,161261         ,AP399364  ,151130,        11030.2800 ,  1.00,          110.3028 ,EFD_ECO_113015                                                                               
EFD015128687, 14803,  171,161262         ,AP399364  ,151130,        13738.8000 ,  1.00,          137.3880 ,EFD_ECO_113015                                                                               
EFD015128688, 14803,  179,161263         ,AP399364  ,151130,         3361.0800 ,  1.00,           33.6108 ,EFD_ECO_113015                                                                               
EFD015128689, 14803,  180,161264         ,AP399364  ,151130,         6797.3800 ,  1.00,           67.9738 ,EFD_ECO_113015                                                                               
EFD015128690, 14803,  192,161334         ,AP399364  ,151130,         2328.4400 ,  1.00,           23.2844 ,EFD_ECO_113015                                                                               
EFD015128691, 14803,  246,161335         ,AP399364  ,151130,         9384.6200 ,  1.00,           93.8462 ,EFD_ECO_113015                                                                               
EFD015128692, 14803,  302,161336         ,AP399364  ,151130,        12809.1800 ,  1.00,          128.0918 ,EFD_ECO_113015                                                                               
EFD015128693, 14803,  707,161338         ,AP399364  ,151130,         7281.3400 ,  1.00,           72.8134 ,EFD_ECO_113015                                                                               
EFD015128694, 14803,  713,161341         ,AP399364  ,151130,        11011.3400 ,  1.00,          110.1134 ,EFD_ECO_113015                                                                               
EFD015128695, 14803,  717,161342         ,AP399364  ,151130,        13350.0200 ,  1.00,          133.5002 ,EFD_ECO_113015                                                                               
EFD015128696, 14803,  726,161348         ,AP399364  ,151130,        16692.4200 ,  1.00,          166.9242 ,EFD_ECO_113015                                                                               
EFD015128697, 14803,  731,161349         ,AP399364  ,151130,         9858.2000 ,  1.00,           98.5820 ,EFD_ECO_113015                                                                               
EFD015128698, 14803,  821,161352         ,AP399364  ,151130,        10454.2000 ,  1.00,          104.5420 ,EFD_ECO_113015                                                                               
EFD015128699, 14803,  825,161353         ,AP399364  ,151130,         4123.4400 ,  1.00,           41.2344 ,EFD_ECO_113015                                                                               
EFD015128700, 14803,  830,161354         ,AP399364  ,151130,         8179.2400 ,  1.00,           81.7924 ,EFD_ECO_113015                                                                               
EFD015128701, 14803,  177,165167         ,AP399364  ,151130,         8995.5200 ,  1.00,           89.9552 ,EFD_ECO_113015                                                                               
EFD015128702, 14803,  237,165168         ,AP399364  ,151130,        13677.7800 ,  1.00,          136.7778 ,EFD_ECO_113015                                                                               
EFD015128703, 14803,  240,165169         ,AP399364  ,151130,         2357.3200 ,  1.00,           23.5732 ,EFD_ECO_113015                                                                               
EFD015128704, 14803,  241,165170         ,AP399364  ,151130,        10742.3400 ,  1.00,          107.4234 ,EFD_ECO_113015                                                                               
EFD015128705, 14803,  256,165171         ,AP399364  ,151130,         9355.0800 ,  1.00,           93.5508 ,EFD_ECO_113015                                                                               
EFD015128706, 14803,  720,170644         ,AP399364  ,151130,         9486.0600 ,  1.00,           94.8606 ,EFD_ECO_113015                                                                               
EFD015128707, 14803,  723,170645         ,AP399364  ,151130,        14225.2000 ,  1.00,          142.2520 ,EFD_ECO_113015                                                                               
EFD015128708, 10368,  133,159963         ,AP399364  ,151130,         6638.3100 ,  2.00,          132.7662 ,EFD_ECO_113015                                                                               
EFD015128709, 10368,  134,159964         ,AP399364  ,151130,         3081.5500 ,  2.00,           61.6310 ,EFD_ECO_113015                                                                               
EFD015128710, 10368,  135,159965         ,AP399364  ,151130,        20993.2400 ,  2.00,          419.8648 ,EFD_ECO_113015                                                                               
EFD015128711, 10368,  138,159966         ,AP399364  ,151130,        42301.7800 ,  2.00,          846.0356 ,EFD_ECO_113015                                                                               
EFD015128712, 10368,  139,159967         ,AP399364  ,151130,         4282.1300 ,  2.00,           85.6426 ,EFD_ECO_113015                                                                               
EFD015128713, 10368,  140,159968         ,AP399364  ,151130,        11946.4800 ,  2.00,          238.9296 ,EFD_ECO_113015                                                                               
EFD015128714, 10368,  141,159969         ,AP399364  ,151130,        54996.7700 ,  2.00,         1099.9354 ,EFD_ECO_113015                                                                               
EFD015128715, 10368,  147,159970         ,AP399364  ,151130,        15963.2600 ,  2.00,          319.2652 ,EFD_ECO_113015                                                                               
EFD015128716, 10368,  148,159971         ,AP399364  ,151130,         4782.0400 ,  2.00,           95.6408 ,EFD_ECO_113015                                                                               
EFD015128717, 10368,  149,159972         ,AP399364  ,151130,         2331.2400 ,  2.00,           46.6248 ,EFD_ECO_113015                                                                               
EFD015128718, 10368,  150,159973         ,AP399364  ,151130,         2876.6500 ,  2.00,           57.5330 ,EFD_ECO_113015                                                                               
EFD015128719, 10368,  151,159974         ,AP399364  ,151130,         7416.8300 ,  2.00,          148.3366 ,EFD_ECO_113015                                                                               
EFD015128720, 10368,  163,159975         ,AP399364  ,151130,         1775.2400 ,  2.00,           35.5048 ,EFD_ECO_113015                                                                               
EFD015128721, 10368,  154,159976         ,AP399364  ,151130,        19993.1800 ,  2.00,          399.8636 ,EFD_ECO_113015                                                                               
EFD015128722, 10368,  155,159977         ,AP399364  ,151130,         1942.5700 ,  2.00,           38.8514 ,EFD_ECO_113015                                                                               
EFD015128723, 10368,  156,159978         ,AP399364  ,151130,         6507.8700 ,  2.00,          130.1574 ,EFD_ECO_113015                                                                               
EFD015128724, 10368,  157,159979         ,AP399364  ,151130,         6996.4100 ,  2.00,          139.9282 ,EFD_ECO_113015                                                                               
EFD015128725, 10368,  158,159980         ,AP399364  ,151130,         9581.3100 ,  2.00,          191.6262 ,EFD_ECO_113015                                                                               
EFD015128726, 10368,  160,159981         ,AP399364  ,151130,         2131.7500 ,  2.00,           42.6350 ,EFD_ECO_113015                                                                               
EFD015128727, 10368,  162,159982         ,AP399364  ,151130,          567.5600 ,  2.00,           11.3512 ,EFD_ECO_113015                                                                               
EFD015128728, 10368,  153,159984         ,AP399364  ,151130,         2117.2300 ,  2.00,           42.3446 ,EFD_ECO_113015                                                                               
EFD015128729, 10368,  166,159987         ,AP399364  ,151130,         3432.6600 ,  2.00,           68.6532 ,EFD_ECO_113015                                                                               
EFD015128730, 10368,  167,159988         ,AP399364  ,151130,         2570.2400 ,  2.00,           51.4048 ,EFD_ECO_113015                                                                               
EFD015128731, 10368,  168,159989         ,AP399364  ,151130,         3179.9200 ,  2.00,           63.5984 ,EFD_ECO_113015                                                                               
EFD015128732, 10368,  171,159990         ,AP399364  ,151130,         3606.4100 ,  2.00,           72.1282 ,EFD_ECO_113015                                                                               
EFD015128733, 10368,  172,159991         ,AP399364  ,151130,         1265.2900 ,  2.00,           25.3058 ,EFD_ECO_113015                                                                               
EFD015128734, 10368,  175,159992         ,AP399364  ,151130,         2091.9400 ,  2.00,           41.8388 ,EFD_ECO_113015                                                                               
EFD015128735, 10368,  177,159993         ,AP399364  ,151130,        11988.3900 ,  2.00,          239.7678 ,EFD_ECO_113015                                                                               
EFD015128736, 10368,  178,159994         ,AP399364  ,151130,         6614.3100 ,  2.00,          132.2862 ,EFD_ECO_113015                                                                               
EFD015128737, 10368,  179,159995         ,AP399364  ,151130,         1978.7800 ,  2.00,           39.5756 ,EFD_ECO_113015                                                                               
EFD015128738, 10368,  180,159996         ,AP399364  ,151130,         4098.9900 ,  2.00,           81.9798 ,EFD_ECO_113015                                                                               
EFD015128739, 10368,  181,159997         ,AP399364  ,151130,        14318.9800 ,  2.00,          286.3796 ,EFD_ECO_113015                                                                               
EFD015128740, 10368,  184,159998         ,AP399364  ,151130,         1725.3400 ,  2.00,           34.5068 ,EFD_ECO_113015                                                                               
