Inv. Number,Vendor,Store,Contract Number,AP Batch,Cut Off Date,Amt. Payable,Rate,EFD Amount,EFD Notes                                                                                                   
EFD014918842, 17727,  823,152827         ,AP262119  ,151107,           22.0780 ,   .25,             .0551 ,EFD_ECO_110715                                                                               
EFD014918843, 17727,  103,163556         ,AP262119  ,151107,        53373.1550 ,   .25,          133.4328 ,EFD_ECO_110715                                                                               
EFD014918844, 17727,  114,163559         ,AP262119  ,151107,        55508.7310 ,   .25,          138.7718 ,EFD_ECO_110715                                                                               
EFD014918845, 17727,  121,163561         ,AP262119  ,151107,        73692.3100 ,   .25,          184.2307 ,EFD_ECO_110715                                                                               
EFD014918846, 17727,  103,163562         ,AP262119  ,151107,        25796.0520 ,   .25,           64.4901 ,EFD_ECO_110715                                                                               
EFD014918847, 17727,  129,163564         ,AP262119  ,151107,        40040.5060 ,   .25,          100.1012 ,EFD_ECO_110715                                                                               
EFD014918848, 17727,  134,163566         ,AP262119  ,151107,          133.6990 ,   .25,             .3342 ,EFD_ECO_110715                                                                               
EFD014918849, 17727,  166,163567         ,AP262119  ,151107,        32911.8910 ,   .25,           82.2797 ,EFD_ECO_110715                                                                               
EFD014918850, 17727,  185,163569         ,AP262119  ,151107,        17363.5310 ,   .25,           43.4088 ,EFD_ECO_110715                                                                               
EFD014918851, 17727,  114,163575         ,AP262119  ,151107,        22181.3680 ,   .25,           55.4534 ,EFD_ECO_110715                                                                               
EFD014918852, 17727,  283,163578         ,AP262119  ,151107,        19746.6660 ,   .25,           49.3666 ,EFD_ECO_110715                                                                               
EFD014918853, 17727,  121,163581         ,AP262119  ,151107,        44640.1750 ,   .25,          111.6004 ,EFD_ECO_110715                                                                               
EFD014918854, 17727,  709,163582         ,AP262119  ,151107,        34980.3260 ,   .25,           87.4508 ,EFD_ECO_110715                                                                               
EFD014918855, 17727,  129,163583         ,AP262119  ,151107,        44172.4240 ,   .25,          110.4310 ,EFD_ECO_110715                                                                               
EFD014918856, 17727,  106,163584         ,AP262119  ,151107,        82254.9020 ,   .25,          205.6372 ,EFD_ECO_110715                                                                               
EFD014918857, 17727,  711,163586         ,AP262119  ,151107,            5.3160 ,   .25,             .0132 ,EFD_ECO_110715                                                                               
EFD014918858, 17727,  112,163587         ,AP262119  ,151107,       140151.4600 ,   .25,          350.3786 ,EFD_ECO_110715                                                                               
EFD014918859, 17727,  116,163588         ,AP262119  ,151107,       131679.0230 ,   .25,          329.1975 ,EFD_ECO_110715                                                                               
EFD014918860, 17727,  713,163590         ,AP262119  ,151107,        27616.0360 ,   .25,           69.0400 ,EFD_ECO_110715                                                                               
EFD014918861, 17727,  125,163591         ,AP262119  ,151107,           64.6430 ,   .25,             .1616 ,EFD_ECO_110715                                                                               
EFD014918862, 17727,  265,163595         ,AP262119  ,151107,       127769.6960 ,   .25,          319.4242 ,EFD_ECO_110715                                                                               
EFD014918863, 17727,  166,163598         ,AP262119  ,151107,        18287.8570 ,   .25,           45.7196 ,EFD_ECO_110715                                                                               
EFD014918864, 17727,  728,163601         ,AP262119  ,151107,        15554.6750 ,   .25,           38.8866 ,EFD_ECO_110715                                                                               
EFD014918865, 17727,  701,163603         ,AP262119  ,151107,       143661.1230 ,   .25,          359.1528 ,EFD_ECO_110715                                                                               
EFD014918866, 17727,  731,163604         ,AP262119  ,151107,        24939.1930 ,   .25,           62.3479 ,EFD_ECO_110715                                                                               
EFD014918867, 17727,  848,163606         ,AP262119  ,151107,          167.2000 ,   .25,             .4180 ,EFD_ECO_110715                                                                               
EFD014918868, 17727,  706,163607         ,AP262119  ,151107,       171029.3330 ,   .25,          427.5733 ,EFD_ECO_110715                                                                               
EFD014918869, 17727,  732,163608         ,AP262119  ,151107,           93.5370 ,   .25,             .2338 ,EFD_ECO_110715                                                                               
