Inv. Number,Vendor,Store,Contract Number,AP Batch,Cut Off Date,Amt. Payable,Rate,EFD Amount,EFD Notes                                                                                                   
EFD014933491, 17727,  103,163556         ,AP262136  ,151122,        19678.5840 ,   .25,           49.1964 ,EFD_ECO_112215                                                                               
EFD014933492, 17727,  114,163559         ,AP262136  ,151122,          292.4310 ,   .25,             .7310 ,EFD_ECO_112215                                                                               
EFD014933493, 17727,  121,163561         ,AP262136  ,151122,            9.3810 ,   .25,             .0234 ,EFD_ECO_112215                                                                               
EFD014933494, 17727,  103,163562         ,AP262136  ,151122,         9027.3330 ,   .25,           22.5683 ,EFD_ECO_112215                                                                               
EFD014933495, 17727,  129,163564         ,AP262136  ,151122,           70.8590 ,   .25,             .1771 ,EFD_ECO_112215                                                                               
EFD014933496, 17727,  166,163567         ,AP262136  ,151122,          171.2520 ,   .25,             .4281 ,EFD_ECO_112215                                                                               
EFD014933497, 17727,  114,163575         ,AP262136  ,151122,          824.6530 ,   .25,            2.0616 ,EFD_ECO_112215                                                                               
EFD014933498, 17727,  283,163578         ,AP262136  ,151122,           73.4540 ,   .25,             .1836 ,EFD_ECO_112215                                                                               
EFD014933499, 17727,  121,163581         ,AP262136  ,151122,          190.0800 ,   .25,             .4752 ,EFD_ECO_112215                                                                               
EFD014933500, 17727,  709,163582         ,AP262136  ,151122,        52126.4860 ,   .25,          130.3162 ,EFD_ECO_112215                                                                               
EFD014933501, 17727,  129,163583         ,AP262136  ,151122,          151.3600 ,   .25,             .3784 ,EFD_ECO_112215                                                                               
EFD014933502, 17727,  106,163584         ,AP262136  ,151122,        76344.6600 ,   .25,          190.8616 ,EFD_ECO_112215                                                                               
EFD014933503, 17727,  112,163587         ,AP262136  ,151122,          257.5760 ,   .25,             .6439 ,EFD_ECO_112215                                                                               
EFD014933504, 17727,  116,163588         ,AP262136  ,151122,         1507.5340 ,   .25,            3.7688 ,EFD_ECO_112215                                                                               
EFD014933505, 17727,  713,163590         ,AP262136  ,151122,          323.8720 ,   .25,             .8096 ,EFD_ECO_112215                                                                               
EFD014933506, 17727,  265,163595         ,AP262136  ,151122,       110995.0840 ,   .25,          277.4877 ,EFD_ECO_112215                                                                               
EFD014933507, 17727,  166,163598         ,AP262136  ,151122,          418.2640 ,   .25,            1.0456 ,EFD_ECO_112215                                                                               
EFD014933508, 17727,  728,163601         ,AP262136  ,151122,        16766.1710 ,   .25,           41.9154 ,EFD_ECO_112215                                                                               
EFD014933509, 17727,  701,163603         ,AP262136  ,151122,       124795.7790 ,   .25,          311.9894 ,EFD_ECO_112215                                                                               
EFD014933510, 17727,  731,163604         ,AP262136  ,151122,           19.8270 ,   .25,             .0495 ,EFD_ECO_112215                                                                               
EFD014933511, 17727,  706,163607         ,AP262136  ,151122,         1533.0390 ,   .25,            3.8325 ,EFD_ECO_112215                                                                               
EFD014933512, 17727,  830,163609         ,AP262136  ,151122,         6983.2360 ,   .25,           17.4580 ,EFD_ECO_112215                                                                               
EFD014933513, 17727,  717,163610         ,AP262136  ,151122,         1040.8460 ,   .25,            2.6021 ,EFD_ECO_112215                                                                               
EFD014933514, 17727,  731,163617         ,AP262136  ,151122,           37.8400 ,   .25,             .0946 ,EFD_ECO_112215                                                                               
EFD014933515, 17727,  830,163618         ,AP262136  ,151122,        22643.4960 ,   .25,           56.6087 ,EFD_ECO_112215                                                                               
EFD014933516, 17727,  728,163619         ,AP262136  ,151122,         7940.0440 ,   .25,           19.8501 ,EFD_ECO_112215                                                                               
EFD014933517, 17727,  185,163620         ,AP262136  ,151122,          198.1060 ,   .25,             .4952 ,EFD_ECO_112215                                                                               
EFD014933518, 17727,  713,163624         ,AP262136  ,151122,          215.5130 ,   .25,             .5387 ,EFD_ECO_112215                                                                               
EFD014933519, 17727,  709,163627         ,AP262136  ,151122,        12009.5430 ,   .25,           30.0238 ,EFD_ECO_112215                                                                               
EFD014933520, 17727,  283,163630         ,AP262136  ,151122,          105.6000 ,   .25,             .2640 ,EFD_ECO_112215                                                                               
EFD014933521, 10156,  101,141048         ,AP262136  ,151122,         4897.8790 ,   .50,           24.4893 ,EFD_ECO_112215                                                                               
