Inv. Number,Vendor,Store,Contract Number,AP Batch,Cut Off Date,Amt. Payable,Rate,EFD Amount,EFD Notes                                                                                                   
EFD014074500, 17727,  116,130759         ,AP998337  ,150115,       174480.9420 ,   .25,          436.2023 ,EFD_ECO_011515                                                                               
EFD014074501, 17727,  166,130762         ,AP998337  ,150115,       100318.8620 ,   .25,          250.7971 ,EFD_ECO_011515                                                                               
EFD014074502, 17727,  706,130763         ,AP998337  ,150115,       243295.9160 ,   .25,          608.2397 ,EFD_ECO_011515                                                                               
EFD014074503, 17727,  249,133416         ,AP998337  ,150115,        22830.6220 ,   .25,           57.0765 ,EFD_ECO_011515                                                                               
EFD014074504, 17727,  199,139292         ,AP998337  ,150115,        46687.4260 ,   .25,          116.7185 ,EFD_ECO_011515                                                                               
EFD014074505, 17727,  134,139858         ,AP998337  ,150115,       137363.5990 ,   .25,          343.4089 ,EFD_ECO_011515                                                                               
EFD014074506, 17727,  848,139859         ,AP998337  ,150115,        32067.3010 ,   .25,           80.1682 ,EFD_ECO_011515                                                                               
EFD014074507, 17727,  279,143048         ,AP998337  ,150115,       340325.3420 ,   .25,          850.8133 ,EFD_ECO_011515                                                                               
EFD014074508, 17727,  103,145586         ,AP998337  ,150115,       130838.6820 ,   .25,          327.0967 ,EFD_ECO_011515                                                                               
EFD014074509, 17727,  717,145587         ,AP998337  ,150115,       328274.7770 ,   .25,          820.6869 ,EFD_ECO_011515                                                                               
EFD014074510, 17727,  713,145588         ,AP998337  ,150115,        46912.4900 ,   .25,          117.2812 ,EFD_ECO_011515                                                                               
EFD014074511, 17727,  701,145663         ,AP998337  ,150115,       257403.3420 ,   .25,          643.5083 ,EFD_ECO_011515                                                                               
EFD014074512, 17727,  709,145666         ,AP998337  ,150115,        80731.4600 ,   .25,          201.8286 ,EFD_ECO_011515                                                                               
EFD014074513, 17727,  728,145682         ,AP998337  ,150115,        40838.6990 ,   .25,          102.0967 ,EFD_ECO_011515                                                                               
EFD014074514, 17727,  830,145683         ,AP998337  ,150115,        45210.5850 ,   .25,          113.0264 ,EFD_ECO_011515                                                                               
EFD014074515, 17727,  106,145684         ,AP998337  ,150115,       168878.0150 ,   .25,          422.1950 ,EFD_ECO_011515                                                                               
EFD014074516, 17727,  840,145698         ,AP998337  ,150115,       283227.2490 ,   .25,          708.0681 ,EFD_ECO_011515                                                                               
EFD014074517, 17727,  732,145699         ,AP998337  ,150115,        61108.0840 ,   .25,          152.7702 ,EFD_ECO_011515                                                                               
EFD014074518, 17727,  711,145718         ,AP998337  ,150115,        27399.3620 ,   .25,           68.4984 ,EFD_ECO_011515                                                                               
EFD014074519, 17727,  849,145719         ,AP998337  ,150115,        75373.1500 ,   .25,          188.4328 ,EFD_ECO_011515                                                                               
EFD014074520, 17727,  716,145787         ,AP998337  ,150115,        26304.7430 ,   .25,           65.7618 ,EFD_ECO_011515                                                                               
EFD014074521, 17727,  186,145790         ,AP998337  ,150115,       123113.6710 ,   .25,          307.7841 ,EFD_ECO_011515                                                                               
EFD014074522, 17727,  822,145803         ,AP998337  ,150115,        14714.2850 ,   .25,           36.7857 ,EFD_ECO_011515                                                                               
EFD014074523, 17727,  718,145887         ,AP998337  ,150115,        30290.1390 ,   .25,           75.7253 ,EFD_ECO_011515                                                                               
EFD014074524, 17727,  265,146295         ,AP998337  ,150115,       175391.0980 ,   .25,          438.4777 ,EFD_ECO_011515                                                                               
EFD014074525, 17727,  121,148157         ,AP998337  ,150115,       135816.1630 ,   .25,          339.5404 ,EFD_ECO_011515                                                                               
EFD014074526, 17727,  276,148158         ,AP998337  ,150115,         7480.0650 ,   .25,           18.7001 ,EFD_ECO_011515                                                                               
EFD014074527, 17727,  129,148159         ,AP998337  ,150115,       134229.3410 ,   .25,          335.5733 ,EFD_ECO_011515                                                                               
EFD014074528, 17727,  112,148160         ,AP998337  ,150115,       175845.9260 ,   .25,          439.6148 ,EFD_ECO_011515                                                                               
EFD014074529, 17727,  823,148386         ,AP998337  ,150115,        89148.7820 ,   .25,          222.8719 ,EFD_ECO_011515                                                                               
EFD014074530, 17727,  285,148402         ,AP998337  ,150115,        41152.3380 ,   .25,          102.8808 ,EFD_ECO_011515                                                                               
EFD014074531, 17727,  283,148498         ,AP998337  ,150115,        43436.7170 ,   .25,          108.5917 ,EFD_ECO_011515                                                                               
EFD014074532, 17727,  823,151468         ,AP998337  ,150115,        67286.4540 ,   .25,          168.2161 ,EFD_ECO_011515                                                                               
EFD014074533, 17727,  731,156723         ,AP998337  ,150115,        36682.0880 ,   .25,           91.7052 ,EFD_ECO_011515                                                                               
EFD014074534, 17727,  185,156725         ,AP998337  ,150115,        17864.2520 ,   .25,           44.6606 ,EFD_ECO_011515                                                                               
EFD014074535, 17727,  114,156727         ,AP998337  ,150115,        41349.9460 ,   .25,          103.3748 ,EFD_ECO_011515                                                                               
EFD014074536, 17727,  125,156728         ,AP998337  ,150115,       138211.9110 ,   .25,          345.5297 ,EFD_ECO_011515                                                                               
EFD014074537, 17727,  270,156730         ,AP998337  ,150115,        15222.7170 ,   .25,           38.0567 ,EFD_ECO_011515                                                                               
EFD014074538, 17727,  185,156731         ,AP998337  ,150115,        16823.1770 ,   .25,           42.0579 ,EFD_ECO_011515                                                                               
EFD014074539, 17727,  731,156734         ,AP998337  ,150115,        25094.4000 ,   .25,           62.7360 ,EFD_ECO_011515                                                                               
EFD014074540, 17727,  114,156735         ,AP998337  ,150115,        12671.2460 ,   .25,           31.6781 ,EFD_ECO_011515                                                                               
EFD014074541, 17727,  125,156737         ,AP998337  ,150115,        93393.6750 ,   .25,          233.4841 ,EFD_ECO_011515                                                                               
EFD014074542, 17727,  270,156739         ,AP998337  ,150115,        10873.0670 ,   .25,           27.1826 ,EFD_ECO_011515                                                                               
EFD014074543, 10156,  101,141048         ,AP998337  ,150115,         6482.5600 ,   .50,           32.4128 ,EFD_ECO_011515                                                                               
EFD014074544, 10156,  102,141049         ,AP998337  ,150115,         2267.0220 ,   .50,           11.3351 ,EFD_ECO_011515                                                                               
EFD014074545, 10156,  106,141051         ,AP998337  ,150115,        15204.5600 ,   .50,           76.0228 ,EFD_ECO_011515                                                                               
EFD014074546, 10156,  108,141052         ,AP998337  ,150115,         3570.0240 ,   .50,           17.8501 ,EFD_ECO_011515                                                                               
EFD014074547, 10156,  109,141053         ,AP998337  ,150115,         1332.3650 ,   .50,            6.6618 ,EFD_ECO_011515                                                                               
EFD014074548, 10156,  115,141058         ,AP998337  ,150115,         3350.0950 ,   .50,           16.7504 ,EFD_ECO_011515                                                                               
EFD014074549, 10156,  116,141059         ,AP998337  ,150115,         6479.7300 ,   .50,           32.3986 ,EFD_ECO_011515                                                                               
EFD014074550, 10156,  118,141060         ,AP998337  ,150115,         7622.2900 ,   .50,           38.1114 ,EFD_ECO_011515                                                                               
EFD014074551, 10156,  119,141061         ,AP998337  ,150115,         7763.6950 ,   .50,           38.8184 ,EFD_ECO_011515                                                                               
EFD014074552, 10156,  121,141062         ,AP998337  ,150115,         4267.6140 ,   .50,           21.3380 ,EFD_ECO_011515                                                                               
EFD014074553, 10156,  122,141063         ,AP998337  ,150115,         4706.3130 ,   .50,           23.5315 ,EFD_ECO_011515                                                                               
EFD014074554, 10156,  156,141070         ,AP998337  ,150115,         6638.1780 ,   .50,           33.1908 ,EFD_ECO_011515                                                                               
EFD014074555, 10156,  138,141071         ,AP998337  ,150115,          210.9640 ,   .50,            1.0548 ,EFD_ECO_011515                                                                               
EFD014074556, 10156,  147,141072         ,AP998337  ,150115,         2940.7440 ,   .50,           14.7037 ,EFD_ECO_011515                                                                               
EFD014074557, 10225,  726,101841         ,AP998337  ,150115,         5595.2680 ,   .25,           13.9881 ,EFD_ECO_011515                                                                               
EFD014074558, 10225,  726,101842         ,AP998337  ,150115,        61642.2600 ,   .25,          154.1056 ,EFD_ECO_011515                                                                               
EFD014074559, 10225,  726,101843         ,AP998337  ,150115,         2346.9530 ,   .25,            5.8673 ,EFD_ECO_011515                                                                               
EFD014074560, 10225,  163,112036         ,AP998337  ,150115,        37516.7130 ,   .25,           93.7917 ,EFD_ECO_011515                                                                               
EFD014074561, 10225,  163,112039         ,AP998337  ,150115,         3238.9560 ,   .25,            8.0973 ,EFD_ECO_011515                                                                               
EFD014074562, 10225,  724,112041         ,AP998337  ,150115,         4513.4850 ,   .25,           11.2837 ,EFD_ECO_011515                                                                               
EFD014074563, 10225,  724,112042         ,AP998337  ,150115,          715.0520 ,   .25,            1.7876 ,EFD_ECO_011515                                                                               
EFD014074564, 10225,  730,112044         ,AP998337  ,150115,        26782.3020 ,   .25,           66.9557 ,EFD_ECO_011515                                                                               
EFD014074565, 10225,  730,112045         ,AP998337  ,150115,         2032.7620 ,   .25,            5.0819 ,EFD_ECO_011515                                                                               
EFD014074566, 10225,  170,112047         ,AP998337  ,150115,         3428.0060 ,   .25,            8.5700 ,EFD_ECO_011515                                                                               
EFD014074567, 10225,  170,112048         ,AP998337  ,150115,           68.2970 ,   .25,             .1707 ,EFD_ECO_011515                                                                               
EFD014074568, 10225,  160,112051         ,AP998337  ,150115,          800.3460 ,   .25,            2.0008 ,EFD_ECO_011515                                                                               
