Inv. Number,Vendor,Store,Contract Number,AP Batch,Cut Off Date,Amt. Payable,Rate,EFD Amount,EFD Notes                                                                                                   
EFD014110656, 17727,  116,130759         ,AP310095  ,150122,       137288.5030 ,   .25,          343.2212 ,EFD_ECO_012215                                                                               
EFD014110657, 17727,  166,130762         ,AP310095  ,150122,        87159.3050 ,   .25,          217.8982 ,EFD_ECO_012215                                                                               
EFD014110658, 17727,  706,130763         ,AP310095  ,150122,       208994.2580 ,   .25,          522.4856 ,EFD_ECO_012215                                                                               
EFD014110659, 17727,  249,133416         ,AP310095  ,150122,        16758.2080 ,   .25,           41.8955 ,EFD_ECO_012215                                                                               
EFD014110660, 17727,  199,139292         ,AP310095  ,150122,        39523.9970 ,   .25,           98.8099 ,EFD_ECO_012215                                                                               
EFD014110661, 17727,  134,139858         ,AP310095  ,150122,       109888.1040 ,   .25,          274.7202 ,EFD_ECO_012215                                                                               
EFD014110662, 17727,  848,139859         ,AP310095  ,150122,        28299.5340 ,   .25,           70.7488 ,EFD_ECO_012215                                                                               
EFD014110663, 17727,  279,143048         ,AP310095  ,150122,       314694.1500 ,   .25,          786.7353 ,EFD_ECO_012215                                                                               
EFD014110664, 17727,  103,145586         ,AP310095  ,150122,       115787.4000 ,   .25,          289.4685 ,EFD_ECO_012215                                                                               
EFD014110665, 17727,  717,145587         ,AP310095  ,150122,       268233.4780 ,   .25,          670.5836 ,EFD_ECO_012215                                                                               
EFD014110666, 17727,  713,145588         ,AP310095  ,150122,        44081.7300 ,   .25,          110.2043 ,EFD_ECO_012215                                                                               
EFD014110667, 17727,  701,145663         ,AP310095  ,150122,       227477.0820 ,   .25,          568.6927 ,EFD_ECO_012215                                                                               
EFD014110668, 17727,  709,145666         ,AP310095  ,150122,        61790.5470 ,   .25,          154.4763 ,EFD_ECO_012215                                                                               
EFD014110669, 17727,  728,145682         ,AP310095  ,150122,        33042.3950 ,   .25,           82.6059 ,EFD_ECO_012215                                                                               
EFD014110670, 17727,  830,145683         ,AP310095  ,150122,        43434.4610 ,   .25,          108.5861 ,EFD_ECO_012215                                                                               
EFD014110671, 17727,  106,145684         ,AP310095  ,150122,       141933.6660 ,   .25,          354.8341 ,EFD_ECO_012215                                                                               
EFD014110672, 17727,  840,145698         ,AP310095  ,150122,       238897.8210 ,   .25,          597.2445 ,EFD_ECO_012215                                                                               
