Inv Number,Ven Code,Ven Name,Store,Str Name,PO Number,RCR Number,RCR Date,RCR Amount,EFD Rate,EFD Amount,EFD Notes                                                                                      
EFD014672300,010009,ABSOLUTE SALES CORPORATION         ,00856,NENEM   ,0000041454,0000033441,151228,        15220.7470 ,   .35,           53.2726 ,EFD_EDI_123115                                       
EFD014672300,010009,ABSOLUTE SALES CORPORATION         ,00856,NENEM   ,0000045502,0000033490,151228,         2473.5000 ,   .35,            8.6573 ,EFD_EDI_123115                                       
EFD014672300,010009,ABSOLUTE SALES CORPORATION         ,00856,NENEM   ,0000045605,0000033554,151229,         7493.2560 ,   .35,           26.2264 ,EFD_EDI_123115                                       
EFD014672301,010009,ABSOLUTE SALES CORPORATION         ,00857,NESBSSJ ,0000041456,0000032554,151222,        52016.8904 ,   .35,          182.0591 ,EFD_EDI_123115                                       
EFD014672301,010009,ABSOLUTE SALES CORPORATION         ,00857,NESBSSJ ,0000041619,0000032555,151222,        13851.5808 ,   .35,           48.4805 ,EFD_EDI_123115                                       
EFD014672302,010009,ABSOLUTE SALES CORPORATION         ,00858,NESSA   ,0000038277,0000031776,151218,         6836.5914 ,   .35,           23.9281 ,EFD_EDI_123115                                       
EFD014672302,010009,ABSOLUTE SALES CORPORATION         ,00858,NESSA   ,0000040003,0000031771,151218,         9662.7036 ,   .35,           33.8195 ,EFD_EDI_123115                                       
EFD014672302,010009,ABSOLUTE SALES CORPORATION         ,00858,NESSA   ,0000041458,0000031775,151218,        43791.2690 ,   .35,          153.2694 ,EFD_EDI_123115                                       
EFD014672302,010009,ABSOLUTE SALES CORPORATION         ,00858,NESSA   ,0000041620,0000031774,151218,        29973.0240 ,   .35,          104.9056 ,EFD_EDI_123115                                       
EFD014672302,010009,ABSOLUTE SALES CORPORATION         ,00858,NESSA   ,0000044453,0000031958,151218,         9683.5080 ,   .35,           33.8923 ,EFD_EDI_123115                                       
EFD014672303,010009,ABSOLUTE SALES CORPORATION         ,00859,NESBSCI ,0000041460,0000031930,151219,        91150.3498 ,   .35,          319.0262 ,EFD_EDI_123115                                       
EFD014672303,010009,ABSOLUTE SALES CORPORATION         ,00859,NESBSCI ,0000041621,0000031929,151219,        42461.7840 ,   .35,          148.6162 ,EFD_EDI_123115                                       
EFD014672304,010009,ABSOLUTE SALES CORPORATION         ,00862,NEBSSCR ,0000041476,0000032486,151222,        71462.3992 ,   .35,          250.1184 ,EFD_EDI_123115                                       
EFD014672304,010009,ABSOLUTE SALES CORPORATION         ,00862,NEBSSCR ,0000041624,0000032487,151222,        24477.9696 ,   .35,           85.6729 ,EFD_EDI_123115                                       
EFD014672305,010009,ABSOLUTE SALES CORPORATION         ,00863,NESBSBL ,0000041478,0000033734,151229,        45605.0862 ,   .35,          159.6178 ,EFD_EDI_123115                                       
EFD014672305,010009,ABSOLUTE SALES CORPORATION         ,00863,NESBSBL ,0000045843,0000033795,151229,        15059.2560 ,   .35,           52.7074 ,EFD_EDI_123115                                       
EFD014672306,010013,ACS MFG. CORP.                     ,00855,NESUP   ,0000039862,0000033170,151226,         5101.4880 ,  1.00,           51.0149 ,EFD_EDI_123115                                       
EFD014672306,010013,ACS MFG. CORP.                     ,00855,NESUP   ,0000040034,0000033172,151226,        31296.8880 ,  1.00,          312.9689 ,EFD_EDI_123115                                       
EFD014672306,010013,ACS MFG. CORP.                     ,00855,NESUP   ,0000040081,0000033171,151226,         2762.4240 ,  1.00,           27.6242 ,EFD_EDI_123115                                       
EFD014672306,010013,ACS MFG. CORP.                     ,00855,NESUP   ,0000040354,0000033173,151226,         6445.6560 ,  1.00,           64.4566 ,EFD_EDI_123115                                       
EFD014672307,010013,ACS MFG. CORP.                     ,00857,NESBSSJ ,0000040037,0000033761,151229,         4021.9200 ,  1.00,           40.2192 ,EFD_EDI_123115                                       
EFD014672307,010013,ACS MFG. CORP.                     ,00857,NESBSSJ ,0000040357,0000033760,151229,         5927.0400 ,  1.00,           59.2704 ,EFD_EDI_123115                                       
EFD014672308,010013,ACS MFG. CORP.                     ,00860,NESBSBA ,0000039867,0000032266,151219,         4561.7040 ,  1.00,           45.6170 ,EFD_EDI_123115                                       
EFD014672308,010013,ACS MFG. CORP.                     ,00860,NESBSBA ,0000040040,0000032265,151219,         8149.6800 ,  1.00,           81.4968 ,EFD_EDI_123115                                       
EFD014672309,010013,ACS MFG. CORP.                     ,00861,NESBSPA ,0000039868,0000033152,151226,         6223.3920 ,  1.00,           62.2339 ,EFD_EDI_123115                                       
EFD014672309,010013,ACS MFG. CORP.                     ,00861,NESBSPA ,0000040041,0000033155,151226,        14288.4000 ,  1.00,          142.8840 ,EFD_EDI_123115                                       
EFD014672309,010013,ACS MFG. CORP.                     ,00861,NESBSPA ,0000040084,0000033153,151226,         2667.1680 ,  1.00,           26.6717 ,EFD_EDI_123115                                       
EFD014672309,010013,ACS MFG. CORP.                     ,00861,NESBSPA ,0000040370,0000033154,151226,         3857.8680 ,  1.00,           38.5787 ,EFD_EDI_123115                                       
EFD014672310,010013,ACS MFG. CORP.                     ,00862,NEBSSCR ,0000040042,0000033196,151226,        91636.2720 ,  1.00,          916.3627 ,EFD_EDI_123115                                       
EFD014672310,010013,ACS MFG. CORP.                     ,00862,NEBSSCR ,0000040371,0000033195,151226,         2910.6000 ,  1.00,           29.1060 ,EFD_EDI_123115                                       
EFD014672311,010014,ADESTECK MARKETING                 ,00857,NESBSSJ ,0000040018,0000033797,151230,          817.0000 ,  4.50,           36.7650 ,EFD_CHA_123115                                       
EFD014672312,010014,ADESTECK MARKETING                 ,00860,NESBSBA ,0000043548,0000032471,151221,         2581.7216 ,  4.50,          116.1775 ,EFD_CHA_123115                                       
EFD014672313,010014,ADESTECK MARKETING                 ,00862,NEBSSCR ,0000043549,0000033028,151223,          817.0000 ,  4.50,           36.7650 ,EFD_CHA_123115                                       
EFD014672314,010014,ADESTECK MARKETING                 ,00863,NESBSBL ,0000043550,0000033900,151231,          326.8000 ,  6.50,           21.2420 ,EFD_CHA_123115                                       
EFD014672315,010020,ALASKA MILK CORP.                  ,00855,NESUP   ,0000042448,0000033673,151229,        10534.4976 ,   .35,           36.8707 ,EFD_EDI_123115                                       
EFD014672315,010020,ALASKA MILK CORP.                  ,00855,NESUP   ,0000042573,0000033674,151229,        54167.9148 ,   .35,          189.5877 ,EFD_EDI_123115                                       
EFD014672316,010020,ALASKA MILK CORP.                  ,00856,NENEM   ,0000042449,0000033711,151229,         7397.2236 ,   .35,           25.8903 ,EFD_EDI_123115                                       
EFD014672316,010020,ALASKA MILK CORP.                  ,00856,NENEM   ,0000042574,0000033712,151229,        31687.7964 ,   .35,          110.9073 ,EFD_EDI_123115                                       
EFD014672317,010020,ALASKA MILK CORP.                  ,00857,NESBSSJ ,0000041021,0000031709,151216,        56906.4096 ,   .35,          199.1724 ,EFD_EDI_123115                                       
EFD014672317,010020,ALASKA MILK CORP.                  ,00857,NESBSSJ ,0000042450,0000033310,151228,         4736.2128 ,   .35,           16.5767 ,EFD_EDI_123115                                       
EFD014672317,010020,ALASKA MILK CORP.                  ,00857,NESBSSJ ,0000042575,0000033311,151228,        17405.3868 ,   .35,           60.9189 ,EFD_EDI_123115                                       
EFD014672318,010020,ALASKA MILK CORP.                  ,00858,NESSA   ,0000041034,0000032152,151219,        54451.3728 ,   .35,          190.5798 ,EFD_EDI_123115                                       
EFD014672318,010020,ALASKA MILK CORP.                  ,00858,NESSA   ,0000042576,0000032202,151219,        34378.7280 ,   .35,          120.3255 ,EFD_EDI_123115                                       
EFD014672319,010020,ALASKA MILK CORP.                  ,00859,NESBSCI ,0000041035,0000033000,151223,       110421.1008 ,   .35,          386.4739 ,EFD_EDI_123115                                       
EFD014672319,010020,ALASKA MILK CORP.                  ,00859,NESBSCI ,0000042451,0000033649,151229,         5684.0900 ,   .35,           19.8943 ,EFD_EDI_123115                                       
EFD014672319,010020,ALASKA MILK CORP.                  ,00859,NESBSCI ,0000042577,0000033650,151229,        58115.7816 ,   .35,          203.4052 ,EFD_EDI_123115                                       
EFD014672320,010020,ALASKA MILK CORP.                  ,00860,NESBSBA ,0000042452,0000032515,151221,         6511.1136 ,   .35,           22.7889 ,EFD_EDI_123115                                       
EFD014672320,010020,ALASKA MILK CORP.                  ,00860,NESBSBA ,0000042578,0000032514,151221,        16639.9188 ,   .35,           58.2397 ,EFD_EDI_123115                                       
EFD014672320,010020,ALASKA MILK CORP.                  ,00860,NESBSBA ,0000044249,0000033638,151229,         2810.4984 ,   .35,            9.8367 ,EFD_EDI_123115                                       
EFD014672320,010020,ALASKA MILK CORP.                  ,00860,NESBSBA ,0000044500,0000033639,151229,        54694.3920 ,   .35,          191.4304 ,EFD_EDI_123115                                       
EFD014672320,010020,ALASKA MILK CORP.                  ,00860,NESBSBA ,0000044537,0000033637,151229,        14052.4920 ,   .35,           49.1837 ,EFD_EDI_123115                                       
EFD014672320,010020,ALASKA MILK CORP.                  ,00860,NESBSBA ,0000044636,0000033636,151229,       147964.1808 ,   .35,          517.8746 ,EFD_EDI_123115                                       
EFD014672321,010020,ALASKA MILK CORP.                  ,00861,NESBSPA ,0000041040,0000032993,151223,       118903.8672 ,   .35,          416.1635 ,EFD_EDI_123115                                       
EFD014672321,010020,ALASKA MILK CORP.                  ,00861,NESBSPA ,0000042453,0000032581,151222,        12325.9488 ,   .35,           43.1408 ,EFD_EDI_123115                                       
EFD014672321,010020,ALASKA MILK CORP.                  ,00861,NESBSPA ,0000042579,0000032582,151222,        11301.9924 ,   .35,           39.5570 ,EFD_EDI_123115                                       
EFD014672322,010020,ALASKA MILK CORP.                  ,00862,NEBSSCR ,0000041171,0000033119,151223,        10118.1600 ,   .35,           35.4136 ,EFD_EDI_123115                                       
EFD014672322,010020,ALASKA MILK CORP.                  ,00862,NEBSSCR ,0000042454,0000033662,151229,         7758.4344 ,   .35,           27.1545 ,EFD_EDI_123115                                       
EFD014672322,010020,ALASKA MILK CORP.                  ,00862,NEBSSCR ,0000042580,0000033669,151229,        38876.0196 ,   .35,          136.0661 ,EFD_EDI_123115                                       
EFD014672323,010020,ALASKA MILK CORP.                  ,00863,NESBSBL ,0000042301,0000033684,151229,        34351.0420 ,   .35,          120.2286 ,EFD_EDI_123115                                       
EFD014672323,010020,ALASKA MILK CORP.                  ,00863,NESBSBL ,0000042455,0000033683,151229,          580.6476 ,   .35,            2.0323 ,EFD_EDI_123115                                       
EFD014672323,010020,ALASKA MILK CORP.                  ,00863,NESBSBL ,0000042581,0000033686,151229,        53350.3584 ,   .35,          186.7263 ,EFD_EDI_123115                                       
