Inv. Number,Vendor,Store,Contract Number,AP Batch,Cut Off Date,Amt. Payable,Rate,EFD Amount,EFD Notes                                                                                                   
EFD014337476, 14803,  189,143873         ,AP333008  ,150315,          423.7100 ,  1.00,            4.2371 ,EFD_ECO_031515                                                                               
EFD014337477, 14803,  194,143874         ,AP333008  ,150315,         2912.9100 ,  1.00,           29.1291 ,EFD_ECO_031515                                                                               
EFD014337478, 14803,  250,143875         ,AP333008  ,150315,         6927.0500 ,  1.00,           69.2705 ,EFD_ECO_031515                                                                               
EFD014337479, 14803,  264,143877         ,AP333008  ,150315,          713.2500 ,  1.00,            7.1325 ,EFD_ECO_031515                                                                               
EFD014337480, 14803,  236,144813         ,AP333008  ,150315,         1073.4700 ,  1.00,           10.7347 ,EFD_ECO_031515                                                                               
EFD014337481, 14803,  101,161217         ,AP333008  ,150315,         4073.3200 ,  1.00,           40.7332 ,EFD_ECO_031515                                                                               
EFD014337482, 14803,  102,161218         ,AP333008  ,150315,         5502.0800 ,  1.00,           55.0208 ,EFD_ECO_031515                                                                               
EFD014337483, 14803,  103,161219         ,AP333008  ,150315,         8719.2000 ,  1.00,           87.1920 ,EFD_ECO_031515                                                                               
EFD014337484, 14803,  104,161220         ,AP333008  ,150315,         9972.1600 ,  1.00,           99.7216 ,EFD_ECO_031515                                                                               
EFD014337485, 14803,  105,161221         ,AP333008  ,150315,         8843.9800 ,  1.00,           88.4398 ,EFD_ECO_031515                                                                               
EFD014337486, 14803,  106,161222         ,AP333008  ,150315,         5308.7200 ,  1.00,           53.0872 ,EFD_ECO_031515                                                                               
EFD014337487, 14803,  107,161223         ,AP333008  ,150315,         5265.3800 ,  1.00,           52.6538 ,EFD_ECO_031515                                                                               
EFD014337488, 14803,  108,161224         ,AP333008  ,150315,         7730.6400 ,  1.00,           77.3064 ,EFD_ECO_031515                                                                               
EFD014337489, 14803,  109,161225         ,AP333008  ,150315,         7359.2800 ,  1.00,           73.5928 ,EFD_ECO_031515                                                                               
EFD014337490, 14803,  110,161226         ,AP333008  ,150315,         3918.6800 ,  1.00,           39.1868 ,EFD_ECO_031515                                                                               
EFD014337491, 14803,  111,161227         ,AP333008  ,150315,        15963.3000 ,  1.00,          159.6330 ,EFD_ECO_031515                                                                               
EFD014337492, 14803,  112,161228         ,AP333008  ,150315,        12181.6400 ,  1.00,          121.8164 ,EFD_ECO_031515                                                                               
EFD014337493, 14803,  113,161229         ,AP333008  ,150315,        17323.5200 ,  1.00,          173.2352 ,EFD_ECO_031515                                                                               
EFD014337494, 14803,  115,161230         ,AP333008  ,150315,        19556.4200 ,  1.00,          195.5642 ,EFD_ECO_031515                                                                               
EFD014337495, 14803,  116,161231         ,AP333008  ,150315,        10212.2800 ,  1.00,          102.1228 ,EFD_ECO_031515                                                                               
EFD014337496, 14803,  117,161232         ,AP333008  ,150315,         4412.6000 ,  1.00,           44.1260 ,EFD_ECO_031515                                                                               
EFD014337497, 14803,  118,161233         ,AP333008  ,150315,        12157.7600 ,  1.00,          121.5776 ,EFD_ECO_031515                                                                               
EFD014337498, 14803,  119,161234         ,AP333008  ,150315,        14728.5800 ,  1.00,          147.2858 ,EFD_ECO_031515                                                                               
EFD014337499, 14803,  121,161235         ,AP333008  ,150315,        12130.1800 ,  1.00,          121.3018 ,EFD_ECO_031515                                                                               
EFD014337500, 14803,  122,161236         ,AP333008  ,150315,        18729.2800 ,  1.00,          187.2928 ,EFD_ECO_031515                                                                               
EFD014337501, 14803,  123,161237         ,AP333008  ,150315,         8472.6600 ,  1.00,           84.7266 ,EFD_ECO_031515                                                                               
EFD014337502, 14803,  124,161239         ,AP333008  ,150315,         5439.6400 ,  1.00,           54.3964 ,EFD_ECO_031515                                                                               
EFD014337503, 14803,  125,161240         ,AP333008  ,150315,        10293.1800 ,  1.00,          102.9318 ,EFD_ECO_031515                                                                               
EFD014337504, 14803,  126,161241         ,AP333008  ,150315,         6699.7600 ,  1.00,           66.9976 ,EFD_ECO_031515                                                                               
EFD014337505, 14803,  127,161242         ,AP333008  ,150315,         8399.7200 ,  1.00,           83.9972 ,EFD_ECO_031515                                                                               
EFD014337506, 14803,  130,161243         ,AP333008  ,150315,         9712.5800 ,  1.00,           97.1258 ,EFD_ECO_031515                                                                               
