Inv Number,Ven Code,Ven Name,Store,Str Name,PO Number,RCR Number,RCR Date,RCR Amount,EFD Rate,EFD Amount,EFD Notes                                                                                      
EFD014663273,010009,ABSOLUTE SALES CORPORATION         ,00855,NESUP   ,0000006196,0000004275,150806,         9487.0896 ,   .35,           33.2048 ,EFD_EDI_081515                                       
EFD014663273,010009,ABSOLUTE SALES CORPORATION         ,00855,NESUP   ,0000006397,0000004274,150806,        11869.3926 ,   .35,           41.5429 ,EFD_EDI_081515                                       
EFD014663273,010009,ABSOLUTE SALES CORPORATION         ,00855,NESUP   ,0000006449,0000004276,150806,         1721.4000 ,   .35,            6.0249 ,EFD_EDI_081515                                       
EFD014663273,010009,ABSOLUTE SALES CORPORATION         ,00855,NESUP   ,0000008567,0000006093,150814,         3996.4032 ,   .35,           13.9874 ,EFD_EDI_081515                                       
EFD014663273,010009,ABSOLUTE SALES CORPORATION         ,00855,NESUP   ,0000008683,0000006091,150814,        21113.1678 ,   .35,           73.8961 ,EFD_EDI_081515                                       
EFD014663273,010009,ABSOLUTE SALES CORPORATION         ,00855,NESUP   ,0000009078,0000006121,150814,        30372.0120 ,   .35,          106.3020 ,EFD_EDI_081515                                       
EFD014663274,010009,ABSOLUTE SALES CORPORATION         ,00856,NENEM   ,0000006197,0000005424,150811,         6993.7056 ,   .35,           24.4780 ,EFD_EDI_081515                                       
EFD014663274,010009,ABSOLUTE SALES CORPORATION         ,00856,NENEM   ,0000006399,0000005422,150811,         9482.2928 ,   .35,           33.1880 ,EFD_EDI_081515                                       
EFD014663274,010009,ABSOLUTE SALES CORPORATION         ,00856,NENEM   ,0000006451,0000005425,150811,         1721.4000 ,   .35,            6.0249 ,EFD_EDI_081515                                       
EFD014663274,010009,ABSOLUTE SALES CORPORATION         ,00856,NENEM   ,0000008684,0000005423,150811,         2345.9800 ,   .35,            8.2109 ,EFD_EDI_081515                                       
EFD014663274,010009,ABSOLUTE SALES CORPORATION         ,00856,NENEM   ,0000009081,0000005421,150811,        22544.5020 ,   .35,           78.9058 ,EFD_EDI_081515                                       
EFD014663274,010009,ABSOLUTE SALES CORPORATION         ,00856,NENEM   ,0000010717,0000006547,150815,         9139.5297 ,   .35,           31.9884 ,EFD_EDI_081515                                       
