Inv. Number,Vendor,Store,Contract Number,AP Batch,Cut Off Date,Amt. Payable,Rate,EFD Amount,EFD Notes                                                                                                   
EFD014780622, 17727,  134,163462         ,AP471598  ,150807,          151.1600 ,   .25,             .3779 ,EFD_ECO_080715                                                                               
EFD014780623, 17727,  166,163464         ,AP471598  ,150807,          550.0800 ,   .25,            1.3752 ,EFD_ECO_080715                                                                               
EFD014780624, 17727,  279,163467         ,AP471598  ,150807,          915.4400 ,   .25,            2.2886 ,EFD_ECO_080715                                                                               
EFD014780625, 17727,  701,163470         ,AP471598  ,150807,          499.6800 ,   .25,            1.2492 ,EFD_ECO_080715                                                                               
EFD014780626, 17727,  823,163474         ,AP471598  ,150807,          180.5600 ,   .25,             .4514 ,EFD_ECO_080715                                                                               
EFD014780627, 17727,  840,163477         ,AP471598  ,150807,          180.5600 ,   .25,             .4514 ,EFD_ECO_080715                                                                               
EFD014780628, 17727,  103,163556         ,AP471598  ,150807,        74002.4450 ,   .25,          185.0061 ,EFD_ECO_080715                                                                               
EFD014780629, 17727,  114,163559         ,AP471598  ,150807,        42733.3010 ,   .25,          106.8332 ,EFD_ECO_080715                                                                               
EFD014780630, 17727,  121,163561         ,AP471598  ,150807,        86795.3630 ,   .25,          216.9884 ,EFD_ECO_080715                                                                               
EFD014780631, 17727,  103,163562         ,AP471598  ,150807,        47164.2230 ,   .25,          117.9105 ,EFD_ECO_080715                                                                               
EFD014780632, 17727,  129,163564         ,AP471598  ,150807,        66722.8830 ,   .25,          166.8072 ,EFD_ECO_080715                                                                               
EFD014780633, 17727,  134,163566         ,AP471598  ,150807,       119203.8480 ,   .25,          298.0096 ,EFD_ECO_080715                                                                               
EFD014780634, 17727,  166,163567         ,AP471598  ,150807,        54884.8420 ,   .25,          137.2121 ,EFD_ECO_080715                                                                               
EFD014780635, 17727,  185,163569         ,AP471598  ,150807,        22866.2480 ,   .25,           57.1656 ,EFD_ECO_080715                                                                               
EFD014780636, 17727,  186,163570         ,AP471598  ,150807,        83622.2390 ,   .25,          209.0555 ,EFD_ECO_080715                                                                               
EFD014780637, 17727,  270,163574         ,AP471598  ,150807,        14568.0340 ,   .25,           36.4200 ,EFD_ECO_080715                                                                               
EFD014780638, 17727,  114,163575         ,AP471598  ,150807,        22836.4960 ,   .25,           57.0912 ,EFD_ECO_080715                                                                               
EFD014780639, 17727,  276,163576         ,AP471598  ,150807,         5279.8490 ,   .25,           13.1996 ,EFD_ECO_080715                                                                               
