Inv. Number,Vendor,Store,Contract Number,AP Batch,Cut Off Date,Amt. Payable,Rate,EFD Amount,EFD Notes                                                                                                   
EFD014662042, 10368,  857,171550         ,AP031748  ,150831,         5451.2100 ,  2.00,          109.0242 ,EFD_ECO_083115                                                                               
EFD014662043, 10368,  858,171551         ,AP031748  ,150831,         9230.6700 ,  2.00,          184.6134 ,EFD_ECO_083115                                                                               
EFD014662044, 10368,  861,171552         ,AP031748  ,150831,        30349.1400 ,  2.00,          606.9828 ,EFD_ECO_083115                                                                               
EFD014662045, 10368,  856,171554         ,AP031748  ,150831,        10943.2700 ,  2.00,          218.8654 ,EFD_ECO_083115                                                                               
EFD014662046, 18564,  863,169041         ,AP031748  ,150831,        16456.7170 ,   .75,          123.4253 ,EFD_ECO_083115                                                                               
EFD014662047, 12920,  863,165130         ,AP031748  ,150831,        33572.2500 ,   .25,           83.9306 ,EFD_ECO_083115                                                                               
EFD014662048, 10088,  861,167265         ,AP031748  ,150831,         2047.3130 ,   .25,            5.1182 ,EFD_ECO_083115                                                                               
EFD014662049, 10088,  861,171334         ,AP031748  ,150831,        46528.1050 ,   .25,          116.3202 ,EFD_ECO_083115                                                                               
EFD014662050, 10762,  861,171322         ,AP031748  ,150831,          968.8000 ,  1.00,            9.6880 ,EFD_ECO_083115                                                                               
EFD014662051, 10933,  857,171712         ,AP031748  ,150831,       176305.4400 ,   .18,          317.3497 ,EFD_ECO_083115                                                                               
EFD014662052, 10933,  859,171713         ,AP031748  ,150831,        23703.1920 ,   .18,           42.6657 ,EFD_ECO_083115                                                                               
EFD014662053, 10933,  860,171714         ,AP031748  ,150831,        35013.3120 ,   .18,           63.0239 ,EFD_ECO_083115                                                                               
EFD014662054, 10933,  861,171715         ,AP031748  ,150831,       231227.6960 ,   .18,          416.2098 ,EFD_ECO_083115                                                                               
EFD014662055, 10933,  863,171716         ,AP031748  ,150831,       151629.8340 ,   .18,          272.9337 ,EFD_ECO_083115                                                                               
EFD014662056, 12864,  855,167152         ,AP031748  ,150831,           82.7900 ,  1.00,             .8279 ,EFD_ECO_083115                                                                               
EFD014662057, 12864,  856,167153         ,AP031748  ,150831,          107.6900 ,  1.00,            1.0769 ,EFD_ECO_083115                                                                               
EFD014662058, 13528,  855,168139         ,AP031748  ,150831,         5732.8300 ,  1.00,           57.3283 ,EFD_ECO_083115                                                                               
EFD014662059, 13528,  857,168141         ,AP031748  ,150831,        10627.8200 ,  1.00,          106.2782 ,EFD_ECO_083115                                                                               
EFD014662060, 13528,  859,168142         ,AP031748  ,150831,        34510.3000 ,  1.00,          345.1030 ,EFD_ECO_083115                                                                               
EFD014662061, 13528,  860,168143         ,AP031748  ,150831,         5303.4100 ,  1.00,           53.0341 ,EFD_ECO_083115                                                                               
EFD014662062, 13528,  861,168144         ,AP031748  ,150831,         5919.3200 ,  1.00,           59.1932 ,EFD_ECO_083115                                                                               
EFD014662063, 13528,  862,168145         ,AP031748  ,150831,        15227.9900 ,  1.00,          152.2799 ,EFD_ECO_083115                                                                               
EFD014662064, 13528,  855,171590         ,AP031748  ,150831,          546.0000 ,  1.00,            5.4600 ,EFD_ECO_083115                                                                               
EFD014662065, 13528,  857,171592         ,AP031748  ,150831,         1918.0000 ,  1.00,           19.1800 ,EFD_ECO_083115                                                                               
EFD014662066, 13528,  859,171593         ,AP031748  ,150831,         9884.0000 ,  1.00,           98.8400 ,EFD_ECO_083115                                                                               
EFD014662067, 13528,  860,171594         ,AP031748  ,150831,          700.0000 ,  1.00,            7.0000 ,EFD_ECO_083115                                                                               
EFD014662068, 13528,  861,171595         ,AP031748  ,150831,          266.0000 ,  1.00,            2.6600 ,EFD_ECO_083115                                                                               
EFD014662069, 13528,  862,171596         ,AP031748  ,150831,         2632.0000 ,  1.00,           26.3200 ,EFD_ECO_083115                                                                               
EFD014662070, 12399,  860,165065         ,AP031748  ,150831,          168.0000 ,   .75,            1.2600 ,EFD_ECO_083115                                                                               
EFD014662071, 12399,  859,165095         ,AP031748  ,150831,           76.5000 ,   .75,             .5737 ,EFD_ECO_083115                                                                               
EFD014662072, 12399,  855,165542         ,AP031748  ,150831,          170.0000 ,   .75,            1.2750 ,EFD_ECO_083115                                                                               
EFD014662073, 12399,  856,165781         ,AP031748  ,150831,          340.0000 ,   .75,            2.5500 ,EFD_ECO_083115                                                                               
EFD014662074, 12984,  858,167145         ,AP031748  ,150831,          344.2500 ,  1.00,            3.4425 ,EFD_ECO_083115                                                                               
EFD014662075, 18551,  855,169835         ,AP031748  ,150831,           27.7500 ,  1.00,             .2775 ,EFD_ECO_083115                                                                               
EFD014662076, 18551,  859,169836         ,AP031748  ,150831,           27.7500 ,  1.00,             .2775 ,EFD_ECO_083115                                                                               
EFD014662077, 18551,  861,169838         ,AP031748  ,150831,         3222.7500 ,  1.00,           32.2275 ,EFD_ECO_083115                                                                               
EFD014662078, 18551,  862,169840         ,AP031748  ,150831,         1224.0000 ,  1.00,           12.2400 ,EFD_ECO_083115                                                                               
EFD014662079, 12479,  861,166753         ,AP031748  ,150831,         4421.2500 ,  1.00,           44.2125 ,EFD_ECO_083115                                                                               
EFD014662080, 10095,  856,171555         ,AP031748  ,150831,         9109.4900 ,  1.00,           91.0949 ,EFD_ECO_083115                                                                               
EFD014662081, 10095,  859,171556         ,AP031748  ,150831,         4656.4600 ,  1.00,           46.5646 ,EFD_ECO_083115                                                                               
EFD014662082, 10844,  855,167919         ,AP031748  ,150831,        10413.9110 ,   .40,           41.6556 ,EFD_ECO_083115                                                                               
EFD014662083, 10844,  856,167920         ,AP031748  ,150831,         2036.8480 ,   .40,            8.1473 ,EFD_ECO_083115                                                                               
EFD014662084, 10844,  857,167921         ,AP031748  ,150831,         3907.5690 ,   .40,           15.6302 ,EFD_ECO_083115                                                                               
EFD014662085, 10844,  858,167922         ,AP031748  ,150831,         1252.2160 ,   .40,            5.0088 ,EFD_ECO_083115                                                                               
EFD014662086, 10844,  859,167923         ,AP031748  ,150831,        13605.7610 ,   .40,           54.4230 ,EFD_ECO_083115                                                                               
EFD014662087, 10844,  860,167924         ,AP031748  ,150831,        11655.5420 ,   .40,           46.6221 ,EFD_ECO_083115                                                                               
EFD014662088, 10844,  861,167925         ,AP031748  ,150831,        11389.9020 ,   .40,           45.5596 ,EFD_ECO_083115                                                                               
EFD014662089, 10844,  862,167926         ,AP031748  ,150831,        18217.0960 ,   .40,           72.8683 ,EFD_ECO_083115                                                                               
EFD014662090, 14473,  857,171705         ,AP031748  ,150831,        12357.7500 ,  1.00,          123.5775 ,EFD_ECO_083115                                                                               
EFD014662091, 14473,  860,171706         ,AP031748  ,150831,        28929.1150 ,  1.00,          289.2911 ,EFD_ECO_083115                                                                               
EFD014662092, 14473,  861,171707         ,AP031748  ,150831,       113939.1860 ,  1.00,         1139.3918 ,EFD_ECO_083115                                                                               
EFD014662093, 16118,  855,171641         ,AP031748  ,150831,         1446.5850 ,   .75,           10.8493 ,EFD_ECO_083115                                                                               
EFD014662094, 16118,  856,171642         ,AP031748  ,150831,         1415.6500 ,   .75,           10.6173 ,EFD_ECO_083115                                                                               
EFD014662095, 16118,  859,171643         ,AP031748  ,150831,         1095.2070 ,   .75,            8.2140 ,EFD_ECO_083115                                                                               
EFD014662096, 16118,  861,171684         ,AP031748  ,150831,         4293.1310 ,   .75,           32.1984 ,EFD_ECO_083115                                                                               
EFD014662097, 16118,  862,171694         ,AP031748  ,150831,         3655.2380 ,   .75,           27.4142 ,EFD_ECO_083115                                                                               
EFD014662098, 16118,  857,171695         ,AP031748  ,150831,          909.5770 ,   .75,            6.8218 ,EFD_ECO_083115                                                                               
EFD014662099, 16118,  860,171697         ,AP031748  ,150831,          819.5770 ,   .75,            6.1468 ,EFD_ECO_083115                                                                               
EFD014662100, 13827,  857,171610         ,AP031748  ,150831,          462.7000 ,   .75,            3.4702 ,EFD_ECO_083115                                                                               
EFD014662101, 13827,  859,171612         ,AP031748  ,150831,          417.2000 ,   .75,            3.1290 ,EFD_ECO_083115                                                                               
EFD014662102, 13827,  861,171614         ,AP031748  ,150831,         6993.7000 ,   .75,           52.4527 ,EFD_ECO_083115                                                                               
