Inv Number,Ven Code,Ven Name,Store,Str Name,PO Number,RCR Number,RCR Date,RCR Amount,EFD Rate,EFD Amount,EFD Notes                                                                                      
EFD014662573,010009,ABSOLUTE SALES CORPORATION         ,00855,NESUP   ,0000004430,0000002101,150727,        20290.8753 ,   .35,           71.0181 ,EFD_EDI_073115                                       
EFD014662573,010009,ABSOLUTE SALES CORPORATION         ,00855,NESUP   ,0000004450,0000002100,150727,        10486.1904 ,   .35,           36.7017 ,EFD_EDI_073115                                       
EFD014662574,010009,ABSOLUTE SALES CORPORATION         ,00856,NENEM   ,0000001903,0000001320,150721,         3418.9837 ,   .35,           11.9664 ,EFD_EDI_073115                                       
EFD014662574,010009,ABSOLUTE SALES CORPORATION         ,00856,NENEM   ,0000002058,0000001319,150721,         4495.9536 ,   .35,           15.7358 ,EFD_EDI_073115                                       
EFD014662574,010009,ABSOLUTE SALES CORPORATION         ,00856,NENEM   ,0000004431,0000002515,150728,         8847.7986 ,   .35,           30.9673 ,EFD_EDI_073115                                       
EFD014662574,010009,ABSOLUTE SALES CORPORATION         ,00856,NENEM   ,0000004451,0000002516,150728,         4495.9536 ,   .35,           15.7358 ,EFD_EDI_073115                                       
EFD014662575,010009,ABSOLUTE SALES CORPORATION         ,00857,NESBSSJ ,0000003149,0000001383,150721,         9063.4384 ,   .35,           31.7220 ,EFD_EDI_073115                                       
EFD014662576,010009,ABSOLUTE SALES CORPORATION         ,00858,NESSA   ,0000001905,0000001416,150722,         7955.1925 ,   .35,           27.8432 ,EFD_EDI_073115                                       
EFD014662576,010009,ABSOLUTE SALES CORPORATION         ,00858,NESSA   ,0000002060,0000001418,150722,        15985.6128 ,   .35,           55.9496 ,EFD_EDI_073115                                       
EFD014662576,010009,ABSOLUTE SALES CORPORATION         ,00858,NESSA   ,0000003152,0000001417,150722,         9562.2656 ,   .35,           33.4679 ,EFD_EDI_073115                                       
EFD014662577,010009,ABSOLUTE SALES CORPORATION         ,00859,NESBSCI ,0000003155,0000001379,150721,        22652.4701 ,   .35,           79.2836 ,EFD_EDI_073115                                       
EFD014662577,010009,ABSOLUTE SALES CORPORATION         ,00859,NESBSCI ,0000004434,0000001993,150725,        26967.1018 ,   .35,           94.3849 ,EFD_EDI_073115                                       
EFD014662577,010009,ABSOLUTE SALES CORPORATION         ,00859,NESBSCI ,0000004455,0000001994,150725,        11980.4736 ,   .35,           41.9317 ,EFD_EDI_073115                                       
EFD014662578,010009,ABSOLUTE SALES CORPORATION         ,00860,NESBSBA ,0000003157,0000002007,150725,         5305.2633 ,   .35,           18.5684 ,EFD_EDI_073115                                       
EFD014662578,010009,ABSOLUTE SALES CORPORATION         ,00860,NESBSBA ,0000004435,0000002006,150725,         8444.5921 ,   .35,           29.5561 ,EFD_EDI_073115                                       
EFD014662578,010009,ABSOLUTE SALES CORPORATION         ,00860,NESBSBA ,0000004456,0000002005,150725,         9487.0896 ,   .35,           33.2048 ,EFD_EDI_073115                                       
EFD014662579,010009,ABSOLUTE SALES CORPORATION         ,00861,NESBSPA ,0000001909,0000001197,150720,        10908.6849 ,   .35,           38.1804 ,EFD_EDI_073115                                       
EFD014662579,010009,ABSOLUTE SALES CORPORATION         ,00861,NESBSPA ,0000002064,0000001198,150720,         4995.5040 ,   .35,           17.4843 ,EFD_EDI_073115                                       
EFD014662579,010009,ABSOLUTE SALES CORPORATION         ,00861,NESBSPA ,0000002413,0000001199,150720,        10766.0004 ,   .35,           37.6810 ,EFD_EDI_073115                                       
EFD014662579,010009,ABSOLUTE SALES CORPORATION         ,00861,NESBSPA ,0000003158,0000002223,150727,        12530.2051 ,   .35,           43.8557 ,EFD_EDI_073115                                       
EFD014662579,010009,ABSOLUTE SALES CORPORATION         ,00861,NESBSPA ,0000004436,0000002222,150727,        17514.7900 ,   .35,           61.3018 ,EFD_EDI_073115                                       
EFD014662579,010009,ABSOLUTE SALES CORPORATION         ,00861,NESBSPA ,0000004458,0000002224,150727,         8492.3568 ,   .35,           29.7232 ,EFD_EDI_073115                                       
EFD014662580,010009,ABSOLUTE SALES CORPORATION         ,00862,NEBSSCR ,0000003159,0000001781,150724,        29294.2611 ,   .35,          102.5299 ,EFD_EDI_073115                                       
EFD014662580,010009,ABSOLUTE SALES CORPORATION         ,00862,NEBSSCR ,0000004437,0000001780,150724,        35477.7501 ,   .35,          124.1721 ,EFD_EDI_073115                                       
EFD014662580,010009,ABSOLUTE SALES CORPORATION         ,00862,NEBSSCR ,0000004459,0000001779,150724,         6993.7056 ,   .35,           24.4780 ,EFD_EDI_073115                                       
EFD014662580,010009,ABSOLUTE SALES CORPORATION         ,00862,NEBSSCR ,0000004469,0000001778,150724,         8289.1510 ,   .35,           29.0120 ,EFD_EDI_073115                                       
EFD014662581,010009,ABSOLUTE SALES CORPORATION         ,00863,NESBSBL ,0000001913,0000001032,150718,        10206.6701 ,   .35,           35.7233 ,EFD_EDI_073115                                       
EFD014662581,010009,ABSOLUTE SALES CORPORATION         ,00863,NESBSBL ,0000002067,0000001031,150718,         9988.3872 ,   .35,           34.9594 ,EFD_EDI_073115                                       
EFD014662582,010013,ACS MFG. CORP.                     ,00855,NESUP   ,0000002654,0000000631,150716,        26512.9200 ,  1.00,          265.1292 ,EFD_EDI_073115                                       
EFD014662582,010013,ACS MFG. CORP.                     ,00855,NESUP   ,0000004180,0000001893,150725,         6763.1760 ,  1.00,           67.6318 ,EFD_EDI_073115                                       
EFD014662582,010013,ACS MFG. CORP.                     ,00855,NESUP   ,0000004181,0000001923,150725,        73865.7360 ,  1.00,          738.6574 ,EFD_EDI_073115                                       
EFD014662582,010013,ACS MFG. CORP.                     ,00855,NESUP   ,0000004182,0000001886,150725,        25719.1200 ,  1.00,          257.1912 ,EFD_EDI_073115                                       
EFD014662582,010013,ACS MFG. CORP.                     ,00855,NESUP   ,0000004183,0000001895,150725,        12044.5920 ,  1.00,          120.4459 ,EFD_EDI_073115                                       
EFD014662583,010013,ACS MFG. CORP.                     ,00857,NESBSSJ ,0000003121,0000000876,150716,         2481.9480 ,  1.00,           24.8195 ,EFD_EDI_073115                                       
EFD014662584,010013,ACS MFG. CORP.                     ,00859,NESBSCI ,0000004001,0000002549,150729,        33625.3680 ,  1.00,          336.2537 ,EFD_EDI_073115                                       
