Inv. Number,Vendor,Store,Contract Number,AP Batch,Cut Off Date,Amt. Payable,Rate,EFD Amount,EFD Notes                                                                                                   
EFD014662293, 10368,  857,171550         ,AP049146  ,150930,         3983.2100 ,  2.00,           79.6642 ,EFD_ECO_093015                                                                               
EFD014662294, 10368,  858,171551         ,AP049146  ,150930,         7840.3800 ,  2.00,          156.8076 ,EFD_ECO_093015                                                                               
EFD014662295, 10368,  861,171552         ,AP049146  ,150930,        24720.8000 ,  2.00,          494.4160 ,EFD_ECO_093015                                                                               
EFD014662296, 10368,  856,171554         ,AP049146  ,150930,        13135.0900 ,  2.00,          262.7018 ,EFD_ECO_093015                                                                               
EFD014662297, 18564,  863,169041         ,AP049146  ,150930,        13211.8360 ,   .75,           99.0887 ,EFD_ECO_093015                                                                               
EFD014662298, 12920,  861,165128         ,AP049146  ,150930,           18.7500 ,   .25,             .0468 ,EFD_ECO_093015                                                                               
EFD014662299, 12920,  863,165130         ,AP049146  ,150930,        28882.5000 ,   .25,           72.2062 ,EFD_ECO_093015                                                                               
EFD014662300, 10088,  861,167265         ,AP049146  ,150930,         3936.9390 ,   .25,            9.8423 ,EFD_ECO_093015                                                                               
EFD014662301, 10088,  861,171334         ,AP049146  ,150930,        21848.6000 ,   .25,           54.6215 ,EFD_ECO_093015                                                                               
EFD014662302, 10762,  861,171322         ,AP049146  ,150930,        63866.4000 ,  1.00,          638.6640 ,EFD_ECO_093015                                                                               
EFD014662303, 10933,  857,171712         ,AP049146  ,150930,       118093.3880 ,   .18,          212.5680 ,EFD_ECO_093015                                                                               
EFD014662304, 10933,  859,171713         ,AP049146  ,150930,       119918.4220 ,   .18,          215.8531 ,EFD_ECO_093015                                                                               
EFD014662305, 10933,  860,171714         ,AP049146  ,150930,        61578.2100 ,   .18,          110.8407 ,EFD_ECO_093015                                                                               
EFD014662306, 10933,  861,171715         ,AP049146  ,150930,       193209.2100 ,   .18,          347.7765 ,EFD_ECO_093015                                                                               
EFD014662307, 10933,  863,171716         ,AP049146  ,150930,       287707.2740 ,   .18,          517.8730 ,EFD_ECO_093015                                                                               
EFD014662308, 12864,  855,167152         ,AP049146  ,150930,         3611.0300 ,  1.00,           36.1103 ,EFD_ECO_093015                                                                               
EFD014662309, 12864,  860,167157         ,AP049146  ,150930,          595.7100 ,  1.00,            5.9571 ,EFD_ECO_093015                                                                               
