Inv. Number,Vendor,Store,Contract Number,AP Batch,Cut Off Date,Amt. Payable,Rate,EFD Amount,EFD Notes                                                                                                   
EFD014865884, 17727,  103,163556         ,AP262074  ,150930,        73889.3320 ,   .25,          184.7233 ,EFD_ECO_093015                                                                               
EFD014865885, 17727,  114,163559         ,AP262074  ,150930,        62079.4170 ,   .25,          155.1985 ,EFD_ECO_093015                                                                               
EFD014865886, 17727,  121,163561         ,AP262074  ,150930,        90800.0920 ,   .25,          227.0002 ,EFD_ECO_093015                                                                               
EFD014865887, 17727,  103,163562         ,AP262074  ,150930,        62370.2510 ,   .25,          155.9256 ,EFD_ECO_093015                                                                               
EFD014865888, 17727,  129,163564         ,AP262074  ,150930,        57382.7440 ,   .25,          143.4568 ,EFD_ECO_093015                                                                               
EFD014865889, 17727,  134,163566         ,AP262074  ,150930,       123115.8110 ,   .25,          307.7895 ,EFD_ECO_093015                                                                               
EFD014865890, 17727,  166,163567         ,AP262074  ,150930,        50286.3730 ,   .25,          125.7159 ,EFD_ECO_093015                                                                               
EFD014865891, 17727,  185,163569         ,AP262074  ,150930,        19907.8250 ,   .25,           49.7695 ,EFD_ECO_093015                                                                               
EFD014865892, 17727,  186,163570         ,AP262074  ,150930,        88157.4680 ,   .25,          220.3936 ,EFD_ECO_093015                                                                               
EFD014865893, 17727,  270,163574         ,AP262074  ,150930,        13543.7550 ,   .25,           33.8593 ,EFD_ECO_093015                                                                               
EFD014865894, 17727,  114,163575         ,AP262074  ,150930,        33690.8040 ,   .25,           84.2270 ,EFD_ECO_093015                                                                               
EFD014865895, 17727,  283,163578         ,AP262074  ,150930,        24481.5490 ,   .25,           61.2038 ,EFD_ECO_093015                                                                               
EFD014865896, 17727,  285,163579         ,AP262074  ,150930,        33512.8510 ,   .25,           83.7821 ,EFD_ECO_093015                                                                               
EFD014865897, 17727,  121,163581         ,AP262074  ,150930,        79308.0370 ,   .25,          198.2700 ,EFD_ECO_093015                                                                               
EFD014865898, 17727,  709,163582         ,AP262074  ,150930,        55554.0840 ,   .25,          138.8852 ,EFD_ECO_093015                                                                               
EFD014865899, 17727,  129,163583         ,AP262074  ,150930,        61760.0180 ,   .25,          154.4000 ,EFD_ECO_093015                                                                               
EFD014865900, 17727,  106,163584         ,AP262074  ,150930,       136050.6450 ,   .25,          340.1266 ,EFD_ECO_093015                                                                               
EFD014865901, 17727,  134,163585         ,AP262074  ,150930,        82663.5630 ,   .25,          206.6589 ,EFD_ECO_093015                                                                               
EFD014865902, 17727,  711,163586         ,AP262074  ,150930,        13116.9690 ,   .25,           32.7924 ,EFD_ECO_093015                                                                               
EFD014865903, 17727,  112,163587         ,AP262074  ,150930,       176298.4100 ,   .25,          440.7460 ,EFD_ECO_093015                                                                               
EFD014865904, 17727,  116,163588         ,AP262074  ,150930,       177592.7930 ,   .25,          443.9819 ,EFD_ECO_093015                                                                               
EFD014865905, 17727,  713,163590         ,AP262074  ,150930,        29362.1320 ,   .25,           73.4053 ,EFD_ECO_093015                                                                               
EFD014865906, 17727,  125,163591         ,AP262074  ,150930,       221564.7250 ,   .25,          553.9118 ,EFD_ECO_093015                                                                               
EFD014865907, 17727,  716,163594         ,AP262074  ,150930,        12287.7080 ,   .25,           30.7192 ,EFD_ECO_093015                                                                               
EFD014865908, 17727,  265,163595         ,AP262074  ,150930,       175760.4340 ,   .25,          439.4010 ,EFD_ECO_093015                                                                               
EFD014865909, 17727,  718,163596         ,AP262074  ,150930,        15389.1260 ,   .25,           38.4728 ,EFD_ECO_093015                                                                               
EFD014865910, 17727,  166,163598         ,AP262074  ,150930,        31117.5290 ,   .25,           77.7938 ,EFD_ECO_093015                                                                               
EFD014865911, 17727,  279,163600         ,AP262074  ,150930,       337475.1220 ,   .25,          843.6878 ,EFD_ECO_093015                                                                               
EFD014865912, 17727,  728,163601         ,AP262074  ,150930,        18052.8050 ,   .25,           45.1320 ,EFD_ECO_093015                                                                               
EFD014865913, 17727,  849,163602         ,AP262074  ,150930,        50650.7910 ,   .25,          126.6269 ,EFD_ECO_093015                                                                               
EFD014865914, 17727,  701,163603         ,AP262074  ,150930,       210940.8860 ,   .25,          527.3522 ,EFD_ECO_093015                                                                               
EFD014865915, 17727,  731,163604         ,AP262074  ,150930,        34468.7820 ,   .25,           86.1719 ,EFD_ECO_093015                                                                               
EFD014865916, 17727,  270,163605         ,AP262074  ,150930,         7606.1570 ,   .25,           19.0153 ,EFD_ECO_093015                                                                               
EFD014865917, 17727,  848,163606         ,AP262074  ,150930,         8925.0290 ,   .25,           22.3125 ,EFD_ECO_093015                                                                               
EFD014865918, 17727,  706,163607         ,AP262074  ,150930,       208683.2420 ,   .25,          521.7081 ,EFD_ECO_093015                                                                               
EFD014865919, 17727,  732,163608         ,AP262074  ,150930,        25879.7470 ,   .25,           64.6993 ,EFD_ECO_093015                                                                               
EFD014865920, 17727,  830,163609         ,AP262074  ,150930,        17656.0790 ,   .25,           44.1401 ,EFD_ECO_093015                                                                               
EFD014865921, 17727,  717,163610         ,AP262074  ,150930,       306504.7740 ,   .25,          766.2619 ,EFD_ECO_093015                                                                               
EFD014865922, 17727,  822,163611         ,AP262074  ,150930,         6156.7610 ,   .25,           15.3919 ,EFD_ECO_093015                                                                               
EFD014865923, 17727,  823,163612         ,AP262074  ,150930,        99400.7360 ,   .25,          248.5018 ,EFD_ECO_093015                                                                               
EFD014865924, 17727,  822,163613         ,AP262074  ,150930,         6610.4220 ,   .25,           16.5260 ,EFD_ECO_093015                                                                               
EFD014865925, 17727,  823,163614         ,AP262074  ,150930,       106301.4900 ,   .25,          265.7537 ,EFD_ECO_093015                                                                               
EFD014865926, 17727,  840,163615         ,AP262074  ,150930,       347124.1350 ,   .25,          867.8103 ,EFD_ECO_093015                                                                               
EFD014865927, 17727,  732,163616         ,AP262074  ,150930,        31975.8440 ,   .25,           79.9396 ,EFD_ECO_093015                                                                               
EFD014865928, 17727,  731,163617         ,AP262074  ,150930,        18055.4070 ,   .25,           45.1385 ,EFD_ECO_093015                                                                               
EFD014865929, 17727,  830,163618         ,AP262074  ,150930,        20771.8750 ,   .25,           51.9296 ,EFD_ECO_093015                                                                               
EFD014865930, 17727,  728,163619         ,AP262074  ,150930,        22087.9490 ,   .25,           55.2198 ,EFD_ECO_093015                                                                               
EFD014865931, 17727,  185,163620         ,AP262074  ,150930,        20378.6000 ,   .25,           50.9465 ,EFD_ECO_093015                                                                               
EFD014865932, 17727,  718,163621         ,AP262074  ,150930,        12415.9280 ,   .25,           31.0398 ,EFD_ECO_093015                                                                               
EFD014865933, 17727,  716,163622         ,AP262074  ,150930,        12125.8320 ,   .25,           30.3145 ,EFD_ECO_093015                                                                               
EFD014865934, 17727,  848,163623         ,AP262074  ,150930,        20694.0730 ,   .25,           51.7351 ,EFD_ECO_093015                                                                               
EFD014865935, 17727,  713,163624         ,AP262074  ,150930,        18998.2760 ,   .25,           47.4956 ,EFD_ECO_093015                                                                               
EFD014865936, 17727,  711,163625         ,AP262074  ,150930,        12911.6310 ,   .25,           32.2790 ,EFD_ECO_093015                                                                               
EFD014865937, 17727,  849,163626         ,AP262074  ,150930,        54610.3660 ,   .25,          136.5259 ,EFD_ECO_093015                                                                               
EFD014865938, 17727,  709,163627         ,AP262074  ,150930,        20658.4990 ,   .25,           51.6462 ,EFD_ECO_093015                                                                               
EFD014865939, 17727,  285,163629         ,AP262074  ,150930,        31274.9210 ,   .25,           78.1873 ,EFD_ECO_093015                                                                               
EFD014865940, 17727,  283,163630         ,AP262074  ,150930,        16421.0850 ,   .25,           41.0527 ,EFD_ECO_093015                                                                               
EFD014865941, 17727,  186,163664         ,AP262074  ,150930,        58273.5030 ,   .25,          145.6837 ,EFD_ECO_093015                                                                               
EFD014865942, 10156,  101,141048         ,AP262074  ,150930,         4516.2770 ,   .50,           22.5813 ,EFD_ECO_093015                                                                               
EFD014865943, 10156,  102,141049         ,AP262074  ,150930,         3876.6090 ,   .50,           19.3830 ,EFD_ECO_093015                                                                               
EFD014865944, 10156,  106,141051         ,AP262074  ,150930,         7218.8410 ,   .50,           36.0942 ,EFD_ECO_093015                                                                               
EFD014865945, 10156,  108,141052         ,AP262074  ,150930,         3403.7800 ,   .50,           17.0189 ,EFD_ECO_093015                                                                               
EFD014865946, 10156,  109,141053         ,AP262074  ,150930,         5147.6950 ,   .50,           25.7384 ,EFD_ECO_093015                                                                               
EFD014865947, 10156,  115,141058         ,AP262074  ,150930,         5015.9440 ,   .50,           25.0797 ,EFD_ECO_093015                                                                               
EFD014865948, 10156,  116,141059         ,AP262074  ,150930,         4010.8060 ,   .50,           20.0540 ,EFD_ECO_093015                                                                               
EFD014865949, 10156,  118,141060         ,AP262074  ,150930,         1517.0790 ,   .50,            7.5853 ,EFD_ECO_093015                                                                               
EFD014865950, 10156,  119,141061         ,AP262074  ,150930,         6440.2800 ,   .50,           32.2014 ,EFD_ECO_093015                                                                               
EFD014865951, 10156,  121,141062         ,AP262074  ,150930,         5068.9330 ,   .50,           25.3446 ,EFD_ECO_093015                                                                               
EFD014865952, 10156,  122,141063         ,AP262074  ,150930,         4986.6160 ,   .50,           24.9330 ,EFD_ECO_093015                                                                               
EFD014865953, 10156,  156,141070         ,AP262074  ,150930,         3919.1290 ,   .50,           19.5956 ,EFD_ECO_093015                                                                               
EFD014865954, 10156,  147,141072         ,AP262074  ,150930,         1458.3910 ,   .50,            7.2919 ,EFD_ECO_093015                                                                               
EFD014865955, 10225,  726,101841         ,AP262074  ,150930,         3770.3410 ,   .25,            9.4258 ,EFD_ECO_093015                                                                               
EFD014865956, 10225,  726,101842         ,AP262074  ,150930,        47498.8700 ,   .25,          118.7471 ,EFD_ECO_093015                                                                               
