Inv. Number,Vendor,Store,Contract Number,AP Batch,Cut Off Date,Amt. Payable,Rate,EFD Amount,EFD Notes                                                                                                   
EFD014249584, 17727,  134,163462         ,AP704756  ,150228,          625.6800 ,   .25,            1.5642 ,EFD_ECO_022815                                                                               
EFD014249585, 17727,  166,163464         ,AP704756  ,150228,          327.5200 ,   .25,             .8188 ,EFD_ECO_022815                                                                               
EFD014249586, 17727,  279,163467         ,AP704756  ,150228,         1671.2400 ,   .25,            4.1781 ,EFD_ECO_022815                                                                               
EFD014249587, 17727,  701,163470         ,AP704756  ,150228,          453.4800 ,   .25,            1.1337 ,EFD_ECO_022815                                                                               
EFD014249588, 17727,  823,163474         ,AP704756  ,150228,          621.4400 ,   .25,            1.5536 ,EFD_ECO_022815                                                                               
EFD014249589, 17727,  732,163475         ,AP704756  ,150228,          457.6800 ,   .25,            1.1442 ,EFD_ECO_022815                                                                               
EFD014249590, 17727,  848,163478         ,AP704756  ,150228,          440.8800 ,   .25,            1.1022 ,EFD_ECO_022815                                                                               
EFD014249591, 17727,  103,163556         ,AP704756  ,150228,        46533.9050 ,   .25,          116.3347 ,EFD_ECO_022815                                                                               
EFD014249592, 17727,  114,163559         ,AP704756  ,150228,        31652.7270 ,   .25,           79.1318 ,EFD_ECO_022815                                                                               
EFD014249593, 17727,  121,163561         ,AP704756  ,150228,        45050.3200 ,   .25,          112.6258 ,EFD_ECO_022815                                                                               
EFD014249594, 17727,  103,163562         ,AP704756  ,150228,        31374.0830 ,   .25,           78.4352 ,EFD_ECO_022815                                                                               
EFD014249595, 17727,  129,163564         ,AP704756  ,150228,        39633.4360 ,   .25,           99.0835 ,EFD_ECO_022815                                                                               
EFD014249596, 17727,  134,163566         ,AP704756  ,150228,        43739.6560 ,   .25,          109.3491 ,EFD_ECO_022815                                                                               
EFD014249597, 17727,  166,163567         ,AP704756  ,150228,        37020.5840 ,   .25,           92.5514 ,EFD_ECO_022815                                                                               
EFD014249598, 17727,  185,163569         ,AP704756  ,150228,        11962.8340 ,   .25,           29.9070 ,EFD_ECO_022815                                                                               
EFD014249599, 17727,  186,163570         ,AP704756  ,150228,        46254.0380 ,   .25,          115.6350 ,EFD_ECO_022815                                                                               
EFD014249600, 17727,  199,163571         ,AP704756  ,150228,        14128.8780 ,   .25,           35.3221 ,EFD_ECO_022815                                                                               
EFD014249601, 17727,  249,163572         ,AP704756  ,150228,         1255.2480 ,   .25,            3.1381 ,EFD_ECO_022815                                                                               
EFD014249602, 17727,  270,163574         ,AP704756  ,150228,         9171.0900 ,   .25,           22.9277 ,EFD_ECO_022815                                                                               
EFD014249603, 17727,  114,163575         ,AP704756  ,150228,        14076.5470 ,   .25,           35.1913 ,EFD_ECO_022815                                                                               
EFD014249604, 17727,  276,163576         ,AP704756  ,150228,         2212.7090 ,   .25,            5.5317 ,EFD_ECO_022815                                                                               
EFD014249605, 17727,  283,163578         ,AP704756  ,150228,        11672.7000 ,   .25,           29.1817 ,EFD_ECO_022815                                                                               
EFD014249606, 17727,  285,163579         ,AP704756  ,150228,        14802.5040 ,   .25,           37.0062 ,EFD_ECO_022815                                                                               
EFD014249607, 17727,  121,163581         ,AP704756  ,150228,        32212.9720 ,   .25,           80.5324 ,EFD_ECO_022815                                                                               
EFD014249608, 17727,  709,163582         ,AP704756  ,150228,        35375.8320 ,   .25,           88.4395 ,EFD_ECO_022815                                                                               
EFD014249609, 17727,  129,163583         ,AP704756  ,150228,        33722.4160 ,   .25,           84.3060 ,EFD_ECO_022815                                                                               
EFD014249610, 17727,  106,163584         ,AP704756  ,150228,        88831.2640 ,   .25,          222.0781 ,EFD_ECO_022815                                                                               
EFD014249611, 17727,  134,163585         ,AP704756  ,150228,        34973.9600 ,   .25,           87.4349 ,EFD_ECO_022815                                                                               
EFD014249612, 17727,  711,163586         ,AP704756  ,150228,         7969.0530 ,   .25,           19.9226 ,EFD_ECO_022815                                                                               
EFD014249613, 17727,  112,163587         ,AP704756  ,150228,        99637.7980 ,   .25,          249.0944 ,EFD_ECO_022815                                                                               
EFD014249614, 17727,  116,163588         ,AP704756  ,150228,        82404.8710 ,   .25,          206.0121 ,EFD_ECO_022815                                                                               
EFD014249615, 17727,  713,163590         ,AP704756  ,150228,        20678.1710 ,   .25,           51.6954 ,EFD_ECO_022815                                                                               
EFD014249616, 17727,  125,163591         ,AP704756  ,150228,       129564.3730 ,   .25,          323.9109 ,EFD_ECO_022815                                                                               
EFD014249617, 17727,  199,163593         ,AP704756  ,150228,        16305.8640 ,   .25,           40.7646 ,EFD_ECO_022815                                                                               
EFD014249618, 17727,  716,163594         ,AP704756  ,150228,         8745.0820 ,   .25,           21.8627 ,EFD_ECO_022815                                                                               
EFD014249619, 17727,  265,163595         ,AP704756  ,150228,        94798.2940 ,   .25,          236.9957 ,EFD_ECO_022815                                                                               
EFD014249620, 17727,  718,163596         ,AP704756  ,150228,        10104.8010 ,   .25,           25.2620 ,EFD_ECO_022815                                                                               
EFD014249621, 17727,  249,163597         ,AP704756  ,150228,         9896.4190 ,   .25,           24.7410 ,EFD_ECO_022815                                                                               
EFD014249622, 17727,  166,163598         ,AP704756  ,150228,        18299.3410 ,   .25,           45.7483 ,EFD_ECO_022815                                                                               
EFD014249623, 17727,  279,163600         ,AP704756  ,150228,       199409.3700 ,   .25,          498.5234 ,EFD_ECO_022815                                                                               
EFD014249624, 17727,  728,163601         ,AP704756  ,150228,        13751.5280 ,   .25,           34.3788 ,EFD_ECO_022815                                                                               
EFD014249625, 17727,  849,163602         ,AP704756  ,150228,        18499.8320 ,   .25,           46.2495 ,EFD_ECO_022815                                                                               
EFD014249626, 17727,  701,163603         ,AP704756  ,150228,       126751.8010 ,   .25,          316.8795 ,EFD_ECO_022815                                                                               
EFD014249627, 17727,  731,163604         ,AP704756  ,150228,        23473.2550 ,   .25,           58.6831 ,EFD_ECO_022815                                                                               
EFD014249628, 17727,  270,163605         ,AP704756  ,150228,         5879.1500 ,   .25,           14.6978 ,EFD_ECO_022815                                                                               
EFD014249629, 17727,  848,163606         ,AP704756  ,150228,         6599.1490 ,   .25,           16.4978 ,EFD_ECO_022815                                                                               
EFD014249630, 17727,  706,163607         ,AP704756  ,150228,       133731.6950 ,   .25,          334.3292 ,EFD_ECO_022815                                                                               
EFD014249631, 17727,  732,163608         ,AP704756  ,150228,        16950.2910 ,   .25,           42.3757 ,EFD_ECO_022815                                                                               
EFD014249632, 17727,  830,163609         ,AP704756  ,150228,        10089.5850 ,   .25,           25.2239 ,EFD_ECO_022815                                                                               
EFD014249633, 17727,  717,163610         ,AP704756  ,150228,       172372.9960 ,   .25,          430.9324 ,EFD_ECO_022815                                                                               
EFD014249634, 17727,  822,163611         ,AP704756  ,150228,         5733.0020 ,   .25,           14.3325 ,EFD_ECO_022815                                                                               
EFD014249635, 17727,  823,163612         ,AP704756  ,150228,        47824.6910 ,   .25,          119.5617 ,EFD_ECO_022815                                                                               
EFD014249636, 17727,  822,163613         ,AP704756  ,150228,         2471.6490 ,   .25,            6.1791 ,EFD_ECO_022815                                                                               
